gene_name	OAvsNOF_log2FoldChange	OAvsNOF_padj
TSPAN6	0.905284836819207	4.56082617643378e-08
TNMD	0.0313302879233549	NA
DPM1	-0.398536555357417	0.00207431872336882
SCYL3	0.0714338255846331	0.651740558667074
C1orf112	0.178368925883844	0.357783620267903
FGR	-0.579633212654018	0.012376100151052
CFH	-0.27219161190684	0.552397130644098
FUCA2	0.147881738998107	0.335135490554695
GCLC	0.275978059488328	0.187679032076299
NFYA	-0.286959605273468	0.00951430924468185
STPG1	0.0537747136950214	0.817285322743382
NIPAL3	-0.0607721771352545	0.735627080905544
LAS1L	-0.0809527511146904	0.695140278633684
ENPP4	-0.807919223494102	0.144096776589913
SEMA3F	-0.246568456342926	0.409916632162866
CFTR	0.0164104175810475	0.986615093692973
ANKIB1	0.222135655466499	0.129919504487234
CYP51A1	0.15533706804058	0.491384215216923
KRIT1	-0.309516561992415	0.103449541626314
RAD52	-0.437999186157478	0.00105508216789124
MYH16	0.0699563299689802	0.85248400679182
BAD	0.359913788163489	0.00196170943519403
LAP3	0.437624576163245	0.00309745140037561
CD99	0.299230961559409	0.0491658965109808
HS3ST1	1.17868195393313	0.000200596948965404
AOC1	0.195611718449266	0.698701839696502
WNT16	0.231205456402113	0.643769362602101
HECW1	0.312532472150838	0.27412920679915
MAD1L1	-0.904713404092676	0.00233808188213838
LASP1	0.432888982373458	0.000397381337592352
SNX11	-0.125527135442863	0.519512218653074
TMEM176A	1.01334262654534	0.0447962898812764
M6PR	-0.317823180662712	0.0757613912387337
KLHL13	0.594940945555697	0.0145189568155533
CYP26B1	0.684939905215133	0.00343161344930188
ICA1	-0.532929440579033	0.0448340031695225
DBNDD1	0.024228246954962	0.968487205381163
ALS2	-0.134146482619007	0.478321910586389
CASP10	-0.11747583606045	0.693551450952837
CFLAR	-0.685818215961545	1.16637629425328e-09
TFPI	-0.587862875436311	0.00251934104946646
NDUFAF7	-0.637843671625189	4.00076337416067e-07
RBM5	-0.293596796894916	0.012817078630878
MTMR7	-0.398628522458225	0.0350430018505244
SLC7A2	-2.12974477023873	2.08791034818303e-23
ARF5	0.103976739256582	0.621992781732829
SARM1	0.370228501278222	0.000743384713220076
POLDIP2	0.305382647177194	0.00109033405638303
PLXND1	0.680457647962048	1.00589056827885e-06
AK2	-1.13729394764151	3.51931266147689e-10
CD38	-0.603602788492511	0.0501110976002141
FKBP4	0.0837463232817268	0.69295720524992
KDM1A	0.0674493299437617	0.615530295320556
RBM6	-0.340170928826803	0.00199146724936435
CAMKK1	0.604598267424034	0.0126484522415677
RECQL	0.29032391509707	0.0358878061544447
VPS50	0.53640839841794	0.0321283580562076
HSPB6	0.996802536879684	0.000117170093939619
ARHGAP33	1.2115950800475	3.05231433361939e-15
NDUFAB1	-0.000456489542301418	0.998859638410826
