ID	age..8.weeks.strain..Str.ortvsage..8.weeks.strain..CBA_logFC	age..8.weeks.strain..Str.ortvsage..8.weeks.strain..CBA_padjFilter
0610009B22Rik	-0.232137738723729	0.450584221382911
0610009L18Rik	0.0748706250633848	0.660212128484015
0610010F05Rik	-0.0153488462341524	0.958429568583205
0610010K14Rik	-0.254939609268904	0.12681987678014
0610012G03Rik	0.137511782039359	0.63605972984567
0610025J13Rik	0.0757509961268452	0.678285255208297
0610030E20Rik	0.0238834386485127	0.935194622854119
0610038B21Rik	-0.112548394130365	0.59549515342008
0610039K10Rik	-0.0937136589866192	0.549794235583884
0610040B10Rik	-0.0491933858574845	0.865196978866166
0610040J01Rik	0.065484839384812	0.763566248654929
1110002E22Rik	0.0647128015115417	0.852531408031204
1110002L01Rik	0.122180841934258	0.452027179587686
1110004F10Rik	-0.150243397436084	0.375578597213096
1110006O24Rik	-0.260685227862586	0.112939052943406
1110008P14Rik	-0.0184916189769986	0.94837010221769
1110012L19Rik	0.106838288530536	0.792517223810878
1110017D15Rik	0.0499759171612419	0.771658441598088
1110032A03Rik	0.135169085396386	0.645904301459607
1110032F04Rik	-0.117606273359334	0.572175283706011
1110038F14Rik	-0.0386246716628111	0.884253863196626
1110051M20Rik	0.189250541832187	0.163086701859885
1110057P08Rik	0.204539316952098	NA
1110059E24Rik	-0.157194739263826	0.466789090980492
1110059G10Rik	-0.523348160341536	0.102500538531522
1110065P20Rik	-0.0489705114582257	0.823582817559511
1190007I07Rik	-0.121510983126525	0.624207728736304
1300017J02Rik	-0.335898767245947	0.128528090201715
1500002C15Rik	-0.0220749888998437	0.928790216149696
1500002F19Rik	-0.0554376155384393	NA
1500009C09Rik	-0.107759944826748	0.507677860214382
1500011B03Rik	-0.0271606310390702	0.890102276485887
1500015L24Rik	-0.0717015446250757	NA
1500035N22Rik	-0.0537425431666385	0.786464315584211
1520401A03Rik	-0.0806545691392451	0.578637815869158
1600002K03Rik	-0.106522836813866	0.532125509282186
1600012H06Rik	0.0902191995064197	0.6277682630143
1600014C10Rik	0.0607257748023891	0.790512407411948
1600014C23Rik	-0.304374667090276	0.0391881844283351
1600029O15Rik	0.0118554523166559	0.976604941726164
1700001C02Rik	-0.0818889491006098	0.625330052185367
1700001C19Rik	-0.10226135928735	0.62122734417626
1700001G17Rik	-0.211415425852204	0.208448981313971
1700001J03Rik	-0.0726635106508366	0.731466718621818
1700001J11Rik	0.0319809389290882	NA
1700001K19Rik	0.140324998146907	0.544425324355901
1700001K23Rik	-0.0385706058388511	0.871425372640577
