ID	age..40.weeks.strain..Str.ortvsage..40.weeks.strain..CBA_logFC	age..40.weeks.strain..Str.ortvsage..40.weeks.strain..CBA_padjFilter
0610009B22Rik	-0.262581511626387	0.229028628054497
0610009L18Rik	0.00128046623144584	0.993644824625617
0610010F05Rik	-0.0647841804277487	0.663627598146117
0610010K14Rik	-0.299527452019122	0.021830637342107
0610012G03Rik	-0.188570205600511	0.3275729335351
0610025J13Rik	0.109173591720603	0.363325330267795
0610030E20Rik	0.0159740798941375	0.930545601216646
0610038B21Rik	-0.113156838411419	0.442030240358241
0610039K10Rik	-0.162469515282252	0.119679493944258
0610040B10Rik	-0.149983467120179	0.335099658252562
0610040J01Rik	-0.0268698457042884	0.868986563587047
1110002E22Rik	0.0724116202481238	0.740122824025443
1110002L01Rik	-0.0719707794456319	0.572477153371012
1110004F10Rik	-0.208433480988276	0.0888707637001036
1110006O24Rik	-0.330806596069445	0.0117254041474145
1110008P14Rik	-0.0961435844699796	0.477884328946317
1110012L19Rik	-0.00666928362301888	0.984412508544684
1110017D15Rik	0.0391625363153638	0.743400921190997
1110032A03Rik	-0.238789367902672	0.205809435152074
1110032F04Rik	0.0749027794212171	0.632565197566134
1110038F14Rik	-0.253696739954059	0.0570018189931056
1110051M20Rik	-0.253709231912126	0.0166216535009785
1110057P08Rik	-0.0102329239611194	NA
1110059E24Rik	0.0230664240590368	0.907475558419692
1110059G10Rik	-0.454705542288009	0.0678938030235719
1110065P20Rik	0.077466794503632	0.564759684467161
1190007I07Rik	-0.221640396574738	0.166381774825444
1300017J02Rik	-0.451800644758363	0.0103726002109888
1500002C15Rik	-0.0295946970388581	0.837510651369139
1500002F19Rik	0.0211022787042143	NA
1500009C09Rik	0.00332805727897423	0.983403205790293
1500011B03Rik	-0.0079727680007089	0.951780561517311
1500015L24Rik	-0.143968664677695	NA
1500035N22Rik	0.00822116461647049	0.956681261939553
1520401A03Rik	-0.00567918016024471	0.964822539248835
1600002K03Rik	0.143022542521903	0.215285302738541
1600012H06Rik	0.152234168148805	0.20679738635976
1600014C10Rik	0.0424637730955251	0.787864704460317
1600014C23Rik	-0.0928667771387444	0.451344290940117
1600029O15Rik	-0.0797543218464387	0.718288065138263
1700001C02Rik	0.0247699022754233	0.855979265296318
1700001C19Rik	-0.199249564305979	0.135135499151895
1700001G17Rik	-0.107316711958422	0.427074991554261
1700001J03Rik	-0.172885826529852	0.181890793350179
1700001J11Rik	-0.0706473881190623	NA
1700001K19Rik	-0.083300755228584	0.637327408422731
1700001K23Rik	-0.00963167278116384	0.952969578043534
1700001L05Rik	-0.00148101664809452	0.995015113815379
1700001L19Rik	0.0216526704094795	NA
1700001O22Rik	-0.166648364129191	0.269911930190864
1700001P01Rik	-0.189944115367684	NA
1700003E16Rik	-0.0750042121211525	NA
1700003F12Rik	-0.142341846694253	0.293002867701313
1700003H04Rik	0.0182147827479735	NA
1700003O11Rik	-0.0569292160463863	0.694207131348623
1700006A11Rik	-0.0255354182652265	NA
1700006J14Rik	1.104662354806	0.000327780100693461
1700007K13Rik	0.153353150759657	0.283408383325581
