ID	subchondral.bone.operation.1.week.postsurgeryvssubchondral.bone.sham.operation.1.week.postsurgery_logFC	subchondral.bone.operation.1.week.postsurgeryvssubchondral.bone.sham.operation.1.week.postsurgery_padjFilter
A1bg	0.0687943706179919	NA
A1cf	-0.0714605700301059	NA
A2m	1.61074177488832	0.0486980454170683
A2ml1	-0.0346430389467542	NA
A3galt2	0.286120700525824	0.131198312781881
A4galt	0.00247336102906814	NA
A4gnt	-0.000996108087298886	NA
AA926063	0.364008251019256	0.356653994796435
Aaas	-0.449722520333614	0.0724338540372582
Aacs	-0.0550733200465992	0.907081510405931
Aadac	0.0873458850130753	NA
Aadacl2	-0.0173897714041997	NA
Aadacl3	-0.0484022526192316	0.931209055725873
Aadat	-0.0135989350316681	NA
Aagab	-0.0013165198865055	0.995735884180541
Aak1	0.0148412543907481	NA
Aamdc	-0.0465367455914105	0.80140873253951
Aamp	0.26628755914755	0.302327445769539
Aanat	-0.470052784342299	0.465597160968387
Aar2	-0.413670455530594	0.0862195698355769
Aard	0.605611934723389	0.0199926639748616
Aars	-0.351486578147327	0.142159085548769
Aars2	-0.0279350450940017	0.834768052085095
Aarsd1	-0.0973532547264213	0.533482410280438
Aasdh	0.0747310516535329	0.83700535337065
Aasdhppt	0.31201856767766	0.243049329310763
Aass	0.0235504370159187	0.927242484578682
Aatf	0.00788672044128624	0.977511476611476
Aatk	-0.0816971475647081	0.329638756773962
Abat	-0.266666289932046	NA
Abca1	0.423431205886883	0.108916579528441
Abca12	-0.0433834417461521	NA
Abca13	0.315263953649353	0.0251019466422214
Abca15	-0.0159282606064828	NA
Abca17	-0.070249739938185	NA
Abca2	0.286779206615325	0.255349524602284
Abca3	-0.478826128144617	0.131324837624708
Abca4	-1.28014655086771	0.139409180054394
Abca5	-0.0313879156464436	NA
Abca6	-0.0572805407270849	NA
Abca7	-0.530584394382265	0.13244518353228
Abca9	-0.0762846999029998	NA
Abcb10	0.00735807771305552	0.981879812446296
Abcb11	-0.0508543972081705	0.638552548557591
Abcb1a	0.0910861815319741	NA
Abcb1b	-0.0798788592572146	NA
Abcb4	-0.113920461930148	0.690912364121479
Abcb5	-0.0522958131056823	NA
Abcb6	0.0220045558652799	0.959701558141854
Abcb7	0.01051310793122	0.972111637355299
Abcb8	-0.406459364210061	0.0333206134365576
Abcb9	-0.0383917135153933	0.8188657445156
Abcc1	0.108835097324597	0.740037560671249
Abcc10	0.0221696477935884	0.932608624137419
Abcc12	-0.0362558908640525	NA
Abcc2	0.130048058988332	0.320197235766677
Abcc3	-0.298272515541011	0.257713925012928
Abcc4	0.0143109785434543	0.925337370809433
Abcc5	0.257153933815756	0.537076166161215
Abcc6	0.0290621528357011	0.809442676957148
Abcc8	0.0630460873837295	NA
Abcc9	0.549055892531359	0.0188795979643721
Abcd1	-0.05116144914345	0.797401607126632
Abcd2	0.486517024129578	0.22174905375092
Abcd3	0.247279702413628	0.14699064613688
Abce1	-0.191975417762113	0.626724386561387
Abcf1	-0.279261156531055	0.0311175939211947
Abcf2	-0.00713445964556847	0.967214879839912
Abcf3	-0.232468484582159	0.330960626076625
Abcg1	0.698219845779599	0.0425402705881694
Abcg2	0.149972046991085	0.732743981847541
Abcg3l1	0.271804692110281	0.264486213362893
Abcg3l2	-0.0335280804749845	0.918793390496733
Abcg3l3	0.269293242132581	0.0768890934681872
Abcg3l4	-0.0395558916900649	NA
Abcg4	-0.102058157973024	NA
Abcg5	0.0254757262318073	NA
Abcg8	-0.103026072594376	NA
Abhd1	-0.16700455000748	0.156319344573836
Abhd10	0.128295374720585	0.437216466107862
Abhd12	0.10842477104036	0.668129129426026
Abhd12b	0.034074922723784	NA
Abhd13	0.223737118729288	0.120925524856703
Abhd14a	-0.0206496023231288	0.957896589402372
Abhd14b	0.144070600366151	0.432611857196876
Abhd15	0.138799719363407	0.200723161139336
Abhd16a	0.0849753394519954	0.8507021998843
Abhd16b	0.0233954227994762	NA
Abhd17a	-0.326283349662116	0.0959554266547785
Abhd17b	0.27434743416958	0.101230593274247
Abhd17c	-0.0690915186917769	0.850553059126121
Abhd18	0.0472606467150118	0.843520507931538
Abhd2	-0.0455907815628507	0.665267352360355
Abhd3	-0.0619143636591177	0.54082125877652
Abhd4	-0.0653790401181427	0.79672223347698
Abhd5	0.445506298368893	0.0272385686740085
Abhd6	0.0902212648517269	0.658485440308156
Abi1	0.0274122794722338	0.910194519137518
Abi2	0.123080303951731	0.318617605332867
Abi3	-0.229875255095049	0.629513640820442
Abi3bp	0.833200366556637	0.0294483560576556
Abitram	0.0292470525774462	0.820601772988937
Abl1	0.106807692713385	0.293372725632203
Abl2	-0.243845857461738	0.235212354884153
Ablim2	0.0922672466765615	0.53030363140016
Ablim3	0.145017736469704	0.373314122745433
Abo	-0.0355144484566914	0.909474091070841
Abo3	0.0812233381358594	NA
Abr	-0.204445058925439	0.282428615672261
Abra	0.071242265414571	0.826015584182535
Abraxas1	-0.0229987394003937	0.935273523506818
Abraxas2	0.111401741003704	0.198128692650332
Abt1	-0.196006716348537	0.217224057462516
Abtb1	-0.304192475867268	0.46465003688601
Abtb2	0.102642060988178	0.469035416810322
Acaa1a	-0.216527105990803	0.372433282969832
Acaa1b	0.0199818189980014	NA
Acaa2	0.000349740093767537	0.999904410300434
Acaca	-0.619089105357583	0.272401245751053
Acacb	0.00654603552136823	NA
Acad10	-0.505565575827063	0.211209127034146
Acad11	0.290846836599115	0.24340379169511
Acad8	0.0585167358186212	NA
Acad9	-0.0102725181340819	0.952162241124561
Acadl	0.0837065232502603	0.615559460941506
Acadm	0.17180263083392	0.134290839326127
Acads	0.000588786751535508	0.999444713871124
Acadsb	0.716674342113574	0.228490977413032
Acadvl	0.238862359830433	0.0582455439768545
Acan	1.15669077555272	0.0332815113653803
Acap1	0.312873647011438	0.413569684851505
Acap3	-0.0671413837527446	0.72213073077978
Acat1	-0.111488971516899	0.570816524715469
Acat2	0.0935473767394086	0.497560418186955
Acbd3	0.133364213490426	0.372793755775015
Acbd4	-0.0318069772645604	0.872948309727862
Acbd5	0.246645334166042	0.0548387739876269
Acbd6	-0.199583326435114	0.277946565056525
Acbd7	0.188604198270827	0.116463213239112
Accs	0.0571982554860728	0.839773564680976
Accsl	0.0085042871633636	0.948536139588126
Acd	-0.0898922972700742	0.520603595760548
Ace	0.161957119738329	0.169018506503003
Ace2	-0.00494656444394082	NA
Acer1	0.177264312515246	0.237875435385938
Acer2	0.141247363049609	0.293537300589246
Acer3	0.178723116607717	0.397566352564035
Ache	-0.2075632050922	0.513017144755764
Acin1	-0.288316016050377	0.152737185846232
Ackr2	-0.16295307551373	0.31061048492257
Ackr3	0.442505201080685	0.130054242470933
Ackr4	0.300845799455567	0.23890646563779
Acly	0.275917148613313	0.142209641229465
Acmsd	0.0101181708001095	NA
Aco1	0.431037509222543	0.0293625934721772
Aco2	-0.38487710745329	0.0553404039288956
Acod1	-0.807662645354231	0.0295235593825684
Acot1	0.231102584144667	0.195280926146021
Acot12	-0.0191931229464055	NA
Acot13	0.141716132832416	0.579863050482732
Acot2	0.0267452545628064	0.946786326064603
Acot3	0.00781906919172748	0.970825775544395
Acot4	-0.0256565027129367	NA
Acot5	-0.0854191339446935	0.66644518280367
Acot7	0.0161206608392028	0.938241649258052
Acot8	-0.217320678818523	0.273262918700242
Acot9	-0.138516748872643	0.351709086918522
Acox1	0.640986210585121	0.00223527832556703
Acox2	-0.139448619382592	NA
Acox3	0.0333071068931741	NA
Acoxl	0.0133910701974971	NA
Acp1	0.219914796850103	0.276555502947409
Acp2	0.178350612122594	0.351709086918522
Acp4	0.0261259037471193	0.789811569701543
Acp5	1.10452781475641	0.0603246529699973
Acp6	0.110396788792464	0.493677632614842
Acpp	-0.244509332987199	0.139845469789933
Acr	-1.32304952098813	0.215010749433831
Acrbp	0.174536328901468	0.672538108154847
Acrv1	-0.0703694982147622	0.613158943109975
Acsbg1	-0.0263183876714139	0.968547528578631
Acsbg2	0.0370555480028703	NA
Acsf3	-0.0878003586355387	0.790395102054139
