gene_name	Injury.Day28vsControl.Day0_log2FoldChange	Injury.Day28vsControl.Day0_padj
	1.23526219634508	0.00347921495628869
TTC38	-0.406409147517168	0.132047573217095
CDPF1	0.133021295181694	0.831224731610445
PPARA	-0.519498942937448	0.468079645527804
TRMU	0.0786312736943223	0.88828558517615
FBLN1	-0.95177822969804	0.00417660833931538
FAM118A	0.048290417672019	0.901244592519861
KIAA0930	0.248068575664555	0.749396684522967
NUP50	0.290989451389271	0.055056127661283
PHF21B	-0.576150232847201	0.579417436311726
	0.0280755201870266	NA
RTL6	-0.419539731261106	0.524366385601447
PARVB	-0.111053907580875	0.860365868173303
PARVG	0.133430833065865	0.962260615306072
SULT4A1	NA	NA
	-0.749122197159244	NA
SCUBE1	-0.632680568725726	0.29901576236796
MCAT	0.0562767081418933	0.920506619767299
TSPO	0.227175326037175	0.687444730203252
TTLL12	-0.104239723727442	0.80165978251144
TTLL1	0.716609575347778	0.00161582420906821
PACSIN2	0.0170266315202461	0.969966292735253
ARFGAP3	0.193158505924834	0.298754631591089
CYB5R3	-0.190109011268639	0.579417436311726
POLDIP3	0.056580077109395	0.851717790038846
SEPT3	0.212665313526615	0.69090168844855
NDUFA6	0.364791391916484	0.371737256132657
CYP2D25	-0.219012847456189	0.826242319005702
NAGA	0.223321065091384	0.383590484834951
C22orf46	0	NA
SNU13	-0.100364006573484	0.64622970945424
XRCC6	0.0514064415617614	0.894898082338338
PMM1	0.101649614322114	0.828482234933932
CSDC2	0.238879638625807	0.68248597795145
POLR3H	0.00731368765259995	0.982353299975522
ACO2	0.013621515358995	0.966080389731269
L3MBTL2	-0.466717733686709	0.138178233706997
CHADL	-0.557499875672751	0.246136342191544
EP300	-0.322831317109248	0.590117469499145
	-0.15693793250293	0.463801177190954
SLC25A17	0.0537447166979717	0.87314803810047
	-0.152415607132598	NA
MCHR1	1.30141284489753	0.049493324025412
MRTFA	-0.319421974850038	0.278427879754406
SGSM3	-0.282182549338962	0.507241285347168
ADSL	-0.35909339226549	0.14611566233703
TNRC6B	-0.75018711368941	0.188247084685553
FAM83F	0.234860926987231	0.687762787653161
GRAP2	-0.885559311516826	0.126788236877016
	-1.14212316313008	0.0977801023530059
CACNA1I	1.23370461881857	0.0516822898548582
RPS19BP1	0.164856999171776	0.766848225500535
ATF4	0.107318039629527	0.822570468658122
TAB1	0.0146399130524456	0.97078871670505
	0.0297171036835248	0.956169675463829
CBX7	-1.19342543847126	0.00108264908049277
APOBEC3B	0.939019466985135	0.0141149471893029
NPTXR	0.541596999846513	0.136027823919257
DNAL4	-0.289473884807325	0.271894969775693
SUN2	-0.436511607364967	0.0688186145523256
GTPBP1	-0.313177596970435	0.157053565469784
	0.0829570040704859	0.831322036505837
DMC1	0.0315492495926252	NA
DDX17	-0.293999580883927	0.233162097157039
KDELR3	0.356689925913653	0.327794318354976
KCNJ4	-0.0433780759876739	NA
	0.254180910424299	0.42455657865134
TMEM184B	-0.0557217284665473	0.875170842543564
PLA2G6	-0.0871147690435647	0.884502808933292
BAIAP2L2	-1.00705815064247	0.0990135358340681
SLC16A8	-0.259829687176899	NA
PICK1	-0.9844861776311	0.0116269138733386
POLR2F	-0.0761613968563672	0.912977301965382
C22orf23	0.249336360312986	0.655961406119524
MICALL1	-0.284415866972838	0.466036563415158
EIF3L	-0.35366753568157	0.222485583452971
ANKRD54	-0.0831973153680578	0.879701307448255
GALR3	-0.473047692556071	0.590648762701235
CYTH4	0.0740849966072285	0.938938672450699
ELFN2	0	NA
TEX33	NA	NA
TST	-0.736550096939902	0.128171193950282
KCTD17	0.495088351247393	0.148521598408672
CSF2RB	0.438548605137472	0.740393771683065
NCF4	0.608874011761531	0.435439335369073
PVALB	-0.142430903559175	NA
IFT27	0.379319966664939	0.472297848219037
EIF3D	-0.213996001288387	0.565153073389851
FOXRED2	-0.564149883384241	0.0953920727046653
TXN2	0.0182747711058317	0.969460673457781
MYH9	0.188874517764111	0.787472072948097
MYH11	1.28249424102217	0.0737865980782355
	0.0208766814805861	0.959510528448339
	-0.0945149393835883	NA
RBFOX2	-0.0860774088286139	0.80687802959819
FBXO7	-0.468415319583038	0.0148783153133539
BPIFC	-1.09863912417501	0.00182885930035416
RTCB	0.316872162867394	0.0144427537646296
ASCL4	NA	NA
PRDM4	0.0414326059453185	0.899252503508811
PWP1	0.184625292706554	0.441366698536355
BTBD11	1.5884604023891	0.00347853883824324
CRY1	0.198159695561483	0.645178029931025
RIC8B	-0.322148061939127	0.334689107670338
POLR3B	0.310980015454824	0.165258347728433
CKAP4	0.783568175429102	0.0458799387593452
TEX49	-0.0578047854102296	NA
ADCY6	-0.015326045302214	0.98135904947678
DDX23	0.240160281450789	0.114431774576289
CCDC65	-0.167484818579086	0.792720383486938
FKBP11	0.669809805585853	0.0110611043941017
WNT10B	-0.439049946316948	0.5510960922653
WNT1	-0.0286725611593981	NA
DDN	5.80440981254959e-05	NA
PRKAG1	-0.252995348213833	0.18467882828387
RHEBL1	0.254867494295995	0.803400163000234
DHH	0.343705404345912	NA
LMBR1L	-0.602320688553959	0.115040819482585
TUBA1B	0.471627147396668	0.000940398281389745
	-0.674158866287296	0.417525864590679
	0.359963638635792	0.392890993145859
PRPH	-0.843122986583723	0.204243533466429
C1QL4	-0.51610053921697	NA
DNAJC22	-0.0589531815400088	NA
	0.490269708169312	0.0409525110023201
MCRS1	0.0843100279248009	0.782190451454063
KCNH3	0.0394878272923436	0.933465682596346
PRPF40B	-0.344441550995125	0.407210258378112
FAM186B	-0.176580509975628	0.835632765776945
FAIM2	-1.03335509243263	0.248822753090374
	-0.841632298680546	NA
NCKAP5L	-0.655458371757201	0.0371697429613931
AQP5	-0.361359114728099	0.628068452669966
