gene_name	InjuryRepair.Day28vsControl.Day0_log2FoldChange	InjuryRepair.Day28vsControl.Day0_padj
	1.39699422174514	0.000510787007044666
TTC38	-0.785274600366432	0.000510787007044666
CDPF1	-0.450291656118811	0.307691274609972
PPARA	-0.111277223236564	0.888542015762729
TRMU	0.176873159063286	0.676818550271193
FBLN1	-1.28096794648422	3.40976513987466e-05
FAM118A	-0.051839440778275	0.863837811561751
KIAA0930	0.585861228943276	0.248868082468268
NUP50	0.366029934978068	0.00854991791761773
PHF21B	-0.696406048347625	0.397334501186467
	0	NA
RTL6	-0.275531146509775	0.643433006909549
PARVB	0.380831443233243	0.60916065479753
PARVG	0.342275164226214	0.714618387967544
SULT4A1	NA	NA
	-0.496121145009497	0.581404847316721
SCUBE1	0.0243082037142826	0.977808106212424
MCAT	-0.434436199292478	0.243981991026596
TSPO	-0.0932490490415812	0.86733079838917
TTLL12	-0.00414756953970386	0.997515109027884
TTLL1	0.77026449697679	0.000543680387356997
PACSIN2	0.238426781912179	0.472265615744953
ARFGAP3	0.283910179170421	0.0725133240693334
CYB5R3	-0.476220124531278	0.0550023711449958
POLDIP3	0.165205291271575	0.438070468976794
SEPT3	-0.044037052215059	0.938525680627433
NDUFA6	-0.00402403428931437	0.990113047759344
CYP2D25	-0.0274429233034552	0.969394913935899
NAGA	0.0880702179957166	0.742665727439182
C22orf46	0	NA
SNU13	-0.239860888205602	0.134868778485231
XRCC6	-0.286220036134568	0.226429229353652
PMM1	-0.22344320643125	0.541520008350652
CSDC2	-0.342335313856116	0.49503209028376
POLR3H	0.153298513476169	0.628491350005255
ACO2	0.109806085333901	0.615968872266507
L3MBTL2	-0.513119334272172	0.0765156177933294
CHADL	-0.671909075428471	0.111395548481892
EP300	-0.198454735856619	0.716596365491383
	-0.127324425266098	0.519872585258903
SLC25A17	0.0895419254949623	0.726245158663272
	-0.174747357037889	NA
MCHR1	1.50990593673987	0.0142499291954916
MRTFA	-0.441380736577852	0.0868252462445818
SGSM3	-0.384204502749952	0.270396007800103
