gene_name	InjuryReconstruct.Day28vsControl.Day0_log2FoldChange	InjuryReconstruct.Day28vsControl.Day0_padj
	1.46591674722086	0.000257459607043232
TTC38	-0.606138219914055	0.0112301266957139
CDPF1	-0.33446903103445	0.522487722621532
PPARA	-0.107413827999393	0.92357589191264
TRMU	-0.0311304071437255	0.974137617766025
FBLN1	-1.0683519497956	0.000788569778196391
FAM118A	-0.219313205275214	0.415265330677982
KIAA0930	0.219800651494336	0.770730654856413
NUP50	0.327437611311393	0.0241077315027046
PHF21B	-0.349444795208028	0.770730654856413
	0	NA
RTL6	0.0284430068867271	0.974334635333665
PARVB	0.257049642400508	0.816174125675192
PARVG	-0.159017072575698	0.75554825180829
SULT4A1	NA	NA
	-0.441586263329067	0.708496599265398
SCUBE1	-0.0898803469273801	0.897641742775878
MCAT	-0.0113118237656868	0.997183419497666
TSPO	-0.361705266133888	0.46423344487238
TTLL12	0.0479424816630088	0.895393607625422
TTLL1	0.852616530691724	7.03681286429892e-05
PACSIN2	0.36466471891069	0.264374079641423
ARFGAP3	0.288992157788086	0.0749199608053028
CYB5R3	-0.195377324716256	0.546500812542261
POLDIP3	0.215528008455305	0.318679122257884
SEPT3	-0.205011730767671	0.720028917398176
NDUFA6	-0.023191681736637	0.964771792102207
CYP2D25	0.0520575627031048	0.982680953769885
NAGA	0.329780551601044	0.145714057694957
C22orf46	0	NA
SNU13	-0.182523645941707	0.310331146192881
XRCC6	-0.138957964528174	0.63748661566791
PMM1	-0.0425575599636895	0.944306896560024
CSDC2	0.0667807302860616	0.905401257253656
POLR3H	0.0252231993290837	0.948083737911158
ACO2	0.226404742815044	0.271225997991514
L3MBTL2	-0.384946041831145	0.239790783238287
CHADL	-0.419362878794678	0.42147005181537
EP300	-0.0153072756895493	0.989110140399289
	-0.202197700285737	0.297341727310448
SLC25A17	-0.0687482805238498	0.822411860471192
	-0.106068228848906	NA
MCHR1	1.10996824575271	0.0677380641571437
MRTFA	-0.661426407530572	0.00647321475756405
SGSM3	-0.306376723806381	0.443175760550622
ADSL	-0.501608656634466	0.0249735767419188
TNRC6B	-0.34710628799394	0.613614286457873
FAM83F	0.836850448465009	0.046858573390137
GRAP2	-1.00692661191377	0.0691275361064693
	-0.998784629972504	0.148657901493266
CACNA1I	0.936349269119468	0.143126509621911
RPS19BP1	-0.259074977949579	0.598225770178205
ATF4	0.186869715046886	0.646809325417771
TAB1	-0.177820091175933	0.539649030249644
	0.0478985887301711	0.923229007839244
CBX7	-1.39748949495089	7.67798148083293e-05
APOBEC3B	0.851475012793526	0.0274701967538362
NPTXR	0.734581849188524	0.0249163867229345
DNAL4	-0.432589410295219	0.0654507523639558
SUN2	-0.385015383031385	0.116508457581966
GTPBP1	-0.194736423734979	0.425338835431752
	-0.0582330085888542	0.876068664184618
DMC1	-0.0883972382810669	NA
DDX17	-0.182815921275947	0.495756471790227
KDELR3	0.397462603396967	0.250650642606223
KCNJ4	-0.0447107423805784	NA
	0.403809881334874	0.138516419214986
TMEM184B	0.163018769292587	0.520184177091709
PLA2G6	-0.0421936085496499	0.945846995918499
BAIAP2L2	-0.788042615314605	0.193312166515926
SLC16A8	-0.573033211586434	0.513569702493389
PICK1	-1.49131428233975	2.44141892627514e-05
POLR2F	-0.443255711337908	0.287971701043619
C22orf23	0.116080487806854	0.847173033224881
MICALL1	0.156243622774898	0.718291126008793
EIF3L	-0.493040764369386	0.0565833790997907
ANKRD54	-0.323156993201962	0.407036763128761
GALR3	-0.655926489378288	0.413762659945292
CYTH4	0.318023348316101	0.889294035367031
ELFN2	0	NA
TEX33	NA	NA
TST	-1.06835946489408	0.0158277659997043
KCTD17	0.138385500986753	0.749390887387105
CSF2RB	0.553830542952334	0.586541040155306
NCF4	0.402101906967832	0.626828592921938
PVALB	-0.417046613944521	NA
IFT27	0.2859037694615	0.595733641129071
EIF3D	-0.280563313779636	0.398059485563346
FOXRED2	-0.249569209867753	0.527969539247707
TXN2	-0.338776893207931	0.286557847642863
MYH9	0.663751461422764	0.159717301800798
MYH11	0.861529464832179	0.323493198208756
	-0.452815506177856	0.41994549277954
	0.122660865124507	0.895937518974635
RBFOX2	0.0598172948628535	0.857666010256656
FBXO7	-0.539294686698119	0.00340306419621908
BPIFC	-0.88192810524793	0.0160164716751109
RTCB	0.344473410294919	0.00591278435695165
ASCL4	NA	NA
PRDM4	0.0289040848856137	0.926167288337749
PWP1	0.113966463949001	0.65910017641317
BTBD11	0.93186538676754	0.103467546353383
CRY1	-0.120937038842564	0.803100950086576
RIC8B	0.0357387901617785	0.946884821882139
POLR3B	0.260310804145174	0.259324121372034
CKAP4	1.17543607293814	0.00062623102531936
TEX49	-0.0632249647150041	NA
ADCY6	0.305570092437488	0.548370911908513
DDX23	0.229005572017494	0.132414155169384
CCDC65	-0.32262396289212	0.543938810228227
FKBP11	0.498792502274516	0.0763286819364026
WNT10B	-0.348517564813643	0.63620558062751
WNT1	-0.03153741701731	NA
DDN	0	NA
PRKAG1	-0.264678437512287	0.153540028496238
RHEBL1	0.345912154618275	0.710155309490946
DHH	0.014544696418091	NA
LMBR1L	-0.764534536551502	0.0308274383028452
TUBA1B	0.359741578006476	0.0179878313894538
	-0.21222826112765	0.872911403142468
	0.428033739952719	0.276110328708828
PRPH	-0.530226531197124	0.476822398630276
C1QL4	0.284961864962118	NA
DNAJC22	-0.028911467966943	NA
	0.697041609404252	0.00112002102319121
MCRS1	0.118246286053805	0.65447921001425
