gene_name	InjuryRepair.Day7vsInjury.Day7_log2FoldChange	InjuryRepair.Day7vsInjury.Day7_padj
	0.0518663663573739	1
TTC38	-0.0386728812761296	1
CDPF1	-0.24822948363423	0.992493572816215
PPARA	0.282803809479185	1
TRMU	-0.193268606638985	1
FBLN1	-0.194189030395068	1
FAM118A	-0.197593038642625	0.917862133525118
KIAA0930	0.138115111523344	1
NUP50	-0.0974840052764096	0.983962949781216
PHF21B	1.01779711228564	0.781667129815811
	-0.00548901885697283	1
RTL6	0.105340832686795	1
PARVB	-0.334393628182141	1
PARVG	0.000752883559387039	1
SULT4A1	NA	NA
	-0.236672014834787	1
SCUBE1	0.0939531467781337	1
MCAT	-0.316807848895133	0.910360789248113
TSPO	-0.138057312287574	1
TTLL12	-0.0947357948464819	1
TTLL1	-0.262452322304256	0.876283039488698
PACSIN2	-0.0908962842469937	1
ARFGAP3	0.0067916144606755	1
CYB5R3	0.0653016051990379	1
POLDIP3	-0.142069965163329	0.950794768615577
SEPT3	0.0779607078499432	1
NDUFA6	-0.624665755987952	0.691684445755953
CYP2D25	-0.38920879048065	1
NAGA	-0.13761658267864	0.98363657200756
C22orf46	-0.00531886434168411	1
SNU13	-0.12042409396483	0.946169949731316
XRCC6	-0.164199898474063	0.956788593853856
PMM1	-0.319538857326964	0.885235114667918
CSDC2	-0.109059911678457	1
POLR3H	-0.223173337268602	0.931617228846328
ACO2	-0.164768562834667	0.911950089102127
L3MBTL2	-0.32984016915817	0.851506253586389
CHADL	0.0807727368417498	1
EP300	0.368260005020629	0.927576799784163
	0.0213223406390249	1
SLC25A17	-0.017729338203763	1
	-0.0180534028975756	1
MCHR1	-0.0681653609331559	1
MRTFA	0.145472476312861	0.999710336650815
SGSM3	-0.316157967483377	0.900379578751055
ADSL	-0.22994018986216	0.900585069824196
TNRC6B	0.238538168119221	1
FAM83F	-0.213982687954275	1
GRAP2	-0.199136810221303	1
	-0.318880350210924	1
CACNA1I	-0.268100571321253	1
RPS19BP1	-0.498168548279826	0.803412809178858
ATF4	-0.112152806871555	1
TAB1	0.077937555318664	1
	0.0636712000770955	1
CBX7	0.19442053833259	1
APOBEC3B	-0.220139462586326	1
NPTXR	-0.0990806358819594	1
DNAL4	0.28690857800455	0.836377381556333
SUN2	0.138177525270946	0.994053313526411
GTPBP1	-0.155672707334829	0.946795394901514
	-0.12881219940132	1
DMC1	0.0486258086617951	1
DDX17	0.130901671779846	0.993900252536623
KDELR3	-0.634983017251724	0.662789080127535
KCNJ4	0.0235830636564115	1
	0.147241430082896	0.998813814316931
TMEM184B	-0.0872058379133939	1
PLA2G6	-0.32872040846524	0.900585069824196
BAIAP2L2	-0.392622293629559	0.997453874075458
SLC16A8	-0.134773080618986	1
PICK1	0.131762058756836	1
POLR2F	-0.454455175882783	0.836377381556333
C22orf23	-0.0303086734041043	1
