gene_name	DamagedvsIntact_log2FoldChange	DamagedvsIntact_padj
TSPAN6	0.267543813293905	0.262459374861179
TNMD	-0.470023774559404	NA
DPM1	0.294916615580201	0.0909488989758251
SCYL3	-0.107827260367052	0.652338405655377
C1orf112	-0.0714820749182593	0.83877141408743
FGR	0.139602360186975	0.976552301498301
CFH	-0.666461719594228	0.000551733335985464
FUCA2	0.147190161992895	0.21313291668086
GCLC	-0.2263918127696	0.166104697072898
NFYA	-0.0893898739414022	0.707335706238187
STPG1	0.159966454386026	0.399249733213946
NIPAL3	0.206600028058169	0.200604190622671
LAS1L	-0.0630220906260488	0.655348476387367
ENPP4	0.428230919633704	0.191133263951153
SEMA3F	0.110368110080817	0.909238394966751
CFTR	-0.0476946749895395	0.954790874857364
ANKIB1	0.106149912725556	0.599366673546694
CYP51A1	0.263288075953363	0.191883057525285
KRIT1	-0.15779234655463	0.379274842767563
RAD52	-0.305068756148465	0.304065615795478
MYH16	-0.155436792107762	NA
BAD	0.0465468003574339	0.841080603865217
LAP3	0.295918801842922	0.00766936496178607
CD99	-0.251494762013373	0.468505810871134
HS3ST1	0.273468420474771	0.159932605159412
AOC1	-0.306552013551025	NA
WNT16	0.945455421287699	0.00106335721161878
HECW1	-0.111921156612209	0.694073117845458
MAD1L1	-0.221310995368311	0.467996062894499
LASP1	-0.0726899671174595	0.655095159148515
SNX11	0.27202346183632	0.224293603851401
TMEM176A	-1.46984281256882	2.86526560067902e-08
M6PR	0.0572886080156707	0.656626322225703
KLHL13	0.223753243894442	0.40238218504132
CYP26B1	-0.380029667211151	0.0978955579643083
ICA1	0.721267488040898	0.00547288414206866
DBNDD1	0.774441986696304	0.0123105849016765
ALS2	0.129637416531922	0.672509215811905
CASP10	0.44317701637259	0.377575796078077
CFLAR	0.27324200227777	0.268941948263473
TFPI	0.859885223456206	4.3613114386257e-09
NDUFAF7	0.011792099572478	0.976752527151467
RBM5	-0.318135017324204	0.101555778868825
MTMR7	0.68298889053853	0.0236979837740469
SLC7A2	1.08820742009519	3.79958710787336e-06
ARF5	0.0810439599189338	0.750110610538709
