ID	surgery..OA.time.after.surgery..2.weeksvssurgery..Sham.time.after.surgery..2.weeks_logFC	surgery..OA.time.after.surgery..2.weeksvssurgery..Sham.time.after.surgery..2.weeks_padjFilter
A1bg	0.0231751431263811	0.999834244627165
A1cf	0.140872386738909	0.956343486215099
A2ml1	0.0481369838484955	0.999834244627165
A3galt2	0.0787214428543415	0.999834244627165
A4galt	-0.072786941593356	0.999834244627165
Aaas	-0.0898445161140558	0.999834244627165
Aacs	-0.00208079641497605	0.999834244627165
Aadac	0.108864277356947	0.999834244627165
Aadat	0.0136790235280735	0.999834244627165
Aagab	0.136574349549557	0.999834244627165
Aak1	0.0542798052770008	0.999834244627165
Aamdc	-0.0165802481953463	0.999834244627165
Aamp	-0.0370607901618643	0.999834244627165
Aanat	0.109352529798532	0.999834244627165
Aar2	-0.0302035487412287	0.999834244627165
Aard	0.113207441408934	0.999834244627165
Aars	-0.0640839630346939	0.999834244627165
Aars2	-0.0548368046761816	0.999834244627165
Aarsd1	0.0819304705524271	0.999834244627165
Aasdh	-0.0434600999559596	0.999834244627165
Aasdhppt	0.177262350774251	0.999834244627165
Aass	-0.095157811360699	0.999834244627165
Aatf	-0.00722012250050597	0.999834244627165
Aatk	-0.0985078427723831	0.999834244627165
Abat	0.127436032483861	0.9845280912979
Abca1	0.0519112348696549	0.999834244627165
Abca2	0.0853845599291754	0.999834244627165
Abca3	-0.129996232451047	0.958013859572549
Abca4	-0.0703245375711834	0.999834244627165
Abca5	0.0415789814449905	0.999834244627165
Abca7	-0.0378951000893615	0.999834244627165
Abca8	0.135667478374415	0.981986795498953
Abca8a	0.73252012442096	0.563052517695933
Abcb10	0.0295299370626214	0.999834244627165
Abcb11	0.0612519507775904	0.999834244627165
Abcb1a	0.0399941479909485	0.999834244627165
Abcb4	0.0461631625562582	0.999834244627165
Abcb6	0.00635960051006634	0.999834244627165
Abcb8	0.0633318689226039	0.999834244627165
Abcb9	0.03969817084438	0.999834244627165
Abcc1	-0.00662364555399364	0.999834244627165
Abcc10	-0.0374075773978486	0.999834244627165
Abcc2	0.0270777686619708	0.999834244627165
Abcc3	-0.066763405269076	0.999834244627165
Abcc4	0.00389280093778943	0.999834244627165
Abcc5	0.0169380861137149	0.999834244627165
Abcc6	-0.12432438747918	0.999834244627165
Abcc8	-0.0427195832989264	0.999834244627165
Abcc9	0.0998864504840506	0.999834244627165
Abcd1	0.0405441399464053	0.999834244627165
Abcd2	0.0520450532768599	0.999834244627165
Abcd3	0.0783496354473598	0.999834244627165
Abcd4	-0.0440316203684841	0.999834244627165
Abce1	0.128372440995619	0.999834244627165
Abcf1	0.0533036883340365	0.999834244627165
Abcf2	0.0742148918580892	0.999834244627165
Abcf3	-0.0163041408980398	0.999834244627165
Abcg1	-0.0610890353887665	0.999834244627165
Abcg2	0.0726411085788801	0.999834244627165
Abcg3l1	0.0877791682375513	0.999834244627165
Abcg4	0.0737332705674483	0.999834244627165
