ID	X2.wks.post.surgery_treatedvsX2.wks.post.surgery_untreated_logFC	X2.wks.post.surgery_treatedvsX2.wks.post.surgery_untreated_padjFilter
Best1	0.0382115520495363	NA
LOC382513	-0.0346446635368229	NA
1500011K16Rik	-0.0725073293410627	0.813521961532104
Cradd	-0.014168437583514	NA
Rcan2	-0.0728546986593237	NA
scl0002023.1_27	0.00850157407690944	NA
Mfap3l	0.384449508094368	0.0350779361817525
LOC380654	0.00281623193219183	NA
Parl	0.399067685088104	0.373062444646183
EG665509	0.317549420800008	0.228173090802586
Tcerg1l	-0.00900061605461477	NA
1600021P15Rik	0.00814000312258578	NA
LOC231444	-0.000259501506149284	NA
Strap	0.0729260006266923	0.833706236030477
Lman1	0.13632561134907	0.397986843875702
LOC232890	-0.0910423558263211	0.594470686687943
2310045L10Rik	-0.0214338498404212	NA
D430018P08	-0.0643531178963146	NA
Slc6a13	-0.0542635339753792	NA
Zkscan5	-0.175231556980179	0.15227441324923
4732496O08Rik	0.199689076594866	NA
Gcc2	-0.183282837938114	NA
LOC383811	0.0829872378602214	NA
9330137I11Rik	-0.0897915703240155	NA
Rftn2	-0.206047579957124	0.463926260444638
LOC385110	-0.0224070857090695	NA
3110001O07Rik	0.00711610965357501	0.96721554030828
1700041I07Rik	0.0193450151856691	NA
9030018K07Rik	0.0718244890255368	NA
LOC245147	-0.00875108733283625	NA
A630046I07Rik	0.0264139737725877	NA
Map3k7ip3	-0.00295804229908114	NA
Elac2	0.0010205605257898	NA
LOC239370	-0.0260586293313692	NA
LOC100045940	0.0414746136606183	NA
Fank1	0.0894907691717943	NA
LOC380688	-0.0289240503060748	NA
Ptpn2	-0.0353322934494908	0.80719284862455
Atp8a1	-0.18141010378794	NA
A030014E15Rik	0.022507353586402	NA
Mapk13	-0.0357850687027392	NA
Snx33	0.20217753865012	NA
Gpr84	0.0315206133932078	NA
Ampd3	0.173315480697088	NA
Hba-a1	-0.235195463765567	0.735924148702985
Kras	-0.265138156430229	0.199956400664344
Rasef	-0.0235994615329318	NA
Prss23	0.0856245187647708	NA
Hsd17b11	0.0395531365799116	NA
AI987712	0.0515384417939391	NA
Cd300e	0.00115024708025935	NA
Tgif1	-0.297559741428179	0.0580618113157806
Prnpip1	-0.20820812670471	NA
Msmb	0.0927085465858264	NA
LOC383750	0.0334334452567742	NA
Ptf1a	0.151790087710632	NA
