ID	WT.DMM.2wkvsWT.Sham.2wk_logFC	WT.DMM.2wkvsWT.Sham.2wk_padjFilter
Ccr1	0.105656962077236	NA
Nppa	0.439939303471045	0.0214018529229919
Aqp7	-0.107655476203308	0.384032722711429
Hvcn1	1.22274727805355	0.185236529020273
Gpr33	-0.0371590410600391	0.848957023278845
C230086J09Rik	-0.337254879162642	0.589258989301146
Maml2	0.0902592495613144	0.580992625698506
A330106F07Rik	0.339020164822647	0.0901038014615627
Ptdss2	-0.0257965744187414	0.899093358206021
Lce1c	0.119238137477539	0.472765081588017
Itfg1	0.326351100318623	0.247349351564889
Elmo1	0.157186041690693	0.387409953574444
Crtac1	2.17563490011883	0.000100499948392832
Pnpt1	-0.0266646369623068	0.869689278281078
Sox9	0.924346186113132	0.00952746232250911
Tmem144	0.117238579356349	0.599936251939746
Syne1	0.0877400432158673	0.448752304208128
Ank1	-0.574127940771695	0.00449366150394748
H2-M10.5	-0.0444816808716438	NA
Irf9	0.145718111727144	0.435316563289343
Erfe	-0.0282566334614682	NA
Pusl1	-0.865200669572634	0.00135548906076049
Tmem59l	0.453883648421986	0.240094108832301
Ldlr	-0.0782322135092394	0.804881032047405
Hps5	-0.0679251241701608	0.873375481226469
Thoc1	0.304790874341123	0.124390355741424
Wnk1	0.156785428702496	0.522928813741032
Scd1	2.19185696339236	0.000987737940175396
Kif13b	-0.361359674017403	0.111874805265367
Ginm1	0.581452799895377	0.0635630159816515
Asph	0.0204620286117921	0.924681755256435
Hao2	-0.170124918984123	NA
Zswim4	0.0903412868128372	0.416230012013573
2210010C04Rik	-0.132991330236259	0.201800454432889
Tunar	0.117060185332443	0.49390782003988
Ssrp1	-0.273549710914072	0.14069796736319
Ncmap	-1.14684752484913	0.00177260180641856
Thap2	0.530755571121883	0.00330070198990146
2900092D14Rik	-0.114157076048708	0.701713092230877
Apobec3	-0.222804038364551	0.26820175161272
Slc25a30	0.51408285504836	0.00164998317469608
Prdx6b	-0.30174344800701	0.0811307255441157
Rbm33	0.019548423570783	0.933616691290403
Msx1	0.169722041920805	0.680961359594837
Ercc6l	0.0249118159726033	0.921157807761106
Usp15	0.0550066780241592	0.783642376640546
Med18	-0.132287695073785	0.543878652361837
Hif1an	0.117748724846959	0.545607610922417
Map1a	-0.351426804663842	0.0389465812057136
Mocos	-0.43111840491133	0.132940162476213
Arhgef19	-0.445767596558651	0.110502018345689
Zdhhc14	-0.195754661649447	0.326767798088761
Vps29	0.402145587117203	0.00357907691339124
Hoxd3	-0.126041777708276	0.5253077330517
H2-T22	-0.192676301840816	0.56483404534951
Clca3b	-0.754767137081069	0.0408520671175304
Higd1b	-0.0767674673924556	0.872737251146907
Atp10d	0.225480357305448	0.311472144394457
Mtus2	0.220093340476035	0.397072421243505
Tuba1c	0.89189474005716	0.00740775392369728
Ngdn	0.0417923414351267	0.815356869036071
Myog	-0.497902771309795	0.104345770431804
Rbm47	0.276241078580911	NA
Zfp516	-0.139609032916615	0.332380671118396
Eldr	-0.0991995285618265	0.75363595096654
Scel	0.602020813815785	0.0267503657451872
Slc35a1	1.01472299734479	0.0207879218299947
2310011J03Rik	0.464740176397495	0.102107145899038
Zc3h12d	0.138388366667467	0.63929502432677
Pmepa1	1.78884727356955	0.000565655752297788
Olfr1356	-0.0302828393223254	0.900778679630085
Wdr41	0.0688120820712761	0.688576318664506
Fam199x	-0.112111483640054	0.580966256115142
Dtwd2	-0.132252239094335	0.589277538489064
Ctsz	0.720466479929958	0.00460624180719748
Susd6	0.709413144807335	0.000388812693933164
Ddhd1	0.0662886772636951	0.76750862424026
Ccdc174	-0.481871360991078	0.0559732797140966
Extl2	-0.124129848969873	0.589996021439461
Fdps	0.75482812534066	0.00551687922494319
Tpsg1	0.120222975314448	0.480771465095543
Srsf2	0.418381209650559	0.0436692515198234
2810403D21Rik	0.289206290575612	0.0771370016765354
Pelp1	0.124902534109125	0.602965259852696
Rif1	-0.123030564338231	0.74808700889726
Kcne1l	0.015941352777587	NA
Tbxas1	0.283558203015836	0.400071375992468
Ep300	-0.034432951423043	0.839594213379431
Myl9	-0.378699245894078	0.54377071677526
Btn1a1	-0.0159784260732497	NA
Olfr1297	-0.131456055810549	NA
Relb	-0.282917793002715	0.249719116764381
Arid2	-0.1523668611399	0.575134161913981
Btg2	0.464047276611213	0.211921843159965
Tubb2a	-0.0297698397664843	0.955805959155522
Cthrc1	0.36544602614887	NA
Ddit4l	1.25063095528489	0.000414057141602358
Srgap3	-0.142777901776331	0.496769459481383
Gcfc2	-0.247138938867947	0.123839423850451
Skp1a	0.391916949953559	0.0431784349818707
Smc3	0.224546611258162	0.310113555618294
Trp63	-0.100883243429678	NA
Dus4l	-0.0763126596429081	0.815066408092243
1700034E13Rik	0.0055804502975634	NA
Afdn	-0.195400754333135	0.258104853131891
9330179D12Rik	-0.195139432063678	NA
Pgd	0.780616014968338	0.0128345205023937
Megf11	-0.224521355543338	0.018990983621177
Srp9	0.371668679059246	0.0173209943443296
Zfp36	0.445763866001068	0.107613398978509
Rflnb	0.146660502881922	0.505008459614626
Gm4788	0.939861035569223	NA
Ifi205	0.0354882196322705	NA
