ID	WT.DMM.6wkvsWT.Sham.6wk_logFC	WT.DMM.6wkvsWT.Sham.6wk_padjFilter
Ccr1	-0.297822440571953	NA
Nppa	-0.266034156812696	0.183275841929882
Aqp7	-0.0578521188954166	NA
Hvcn1	-1.10120203789355	0.25028029010005
Gpr33	-0.0936536762253438	NA
C230086J09Rik	0.619503136896465	0.30126346768273
Maml2	0.122169346954301	0.457857535578207
A330106F07Rik	-0.0467539586636344	NA
Ptdss2	0.0658786072928141	0.744300129747266
Lce1c	-0.0775040213190541	NA
Itfg1	0.426329645260677	0.131315139678831
Elmo1	-0.264588052738573	0.132938885178967
Crtac1	2.07845066234236	0.000203899144907543
Pnpt1	0.157605656856576	0.265589700803286
Sox9	0.711934975075607	0.047422933081498
Tmem144	-0.0366121822010661	0.888954550904455
Syne1	-0.0812349447094631	0.504482916315651
Ank1	-0.224316076621649	0.290414717144256
H2-M10.5	-0.0394352340836119	NA
Irf9	0.111118628336568	0.577066221550615
Erfe	0.0211831690372804	NA
Pusl1	-0.0969432408110351	0.764492650123658
Tmem59l	0.652534191942138	0.0895287437690879
Ldlr	-0.751759968599848	0.00543045123799959
Hps5	0.545527173181498	0.128366676431182
Thoc1	-0.0448395174314538	0.862732920960226
Wnk1	-0.153958890327636	0.549176199596687
Scd1	1.93302985631124	0.00330613998575308
Kif13b	0.0390751914038754	NA
Ginm1	0.0917752718708172	0.818849465627095
Asph	-0.0220693369329078	0.926982690163458
Hao2	-0.129060040550849	NA
Zswim4	0.0991257532969951	NA
2210010C04Rik	-0.0365373237397589	0.774090054443822
Tunar	-0.028150313534281	NA
Ssrp1	-0.386618397915142	0.0379847189184705
Ncmap	-1.19134937157579	0.00136047688706216
Thap2	0.36953246653078	0.0391788929268769
2900092D14Rik	0.131383073815447	NA
Apobec3	-0.262907559240454	0.196900877711276
Slc25a30	0.314322595356831	NA
Prdx6b	-0.17191033210923	0.360389735207029
Rbm33	-0.329610475270284	0.0904591303521353
Msx1	-0.772305483899057	0.0347844423294698
Ercc6l	-0.10184644778988	NA
Usp15	0.331020820217987	0.0532649747008848
Med18	0.204148900589297	0.341154285255571
Hif1an	0.152804127104162	0.438988325604672
Map1a	-0.287742395642614	0.0990045988583045
Mocos	-0.0215238515318541	0.956617493229385
Arhgef19	-1.07019215945081	0.000357842489983517
Zdhhc14	-0.0979723717879026	0.663708057131632
Vps29	0.262099798830779	0.0559484964575248
Hoxd3	-0.168264511386738	NA
H2-T22	-0.0706101671657634	0.858161019806203
Clca3b	-0.541584119716929	0.157762229367911
