ID	Adamts5Dcat.DMM.6wkvsAdamts5Dcat.Sham.6wk_logFC	Adamts5Dcat.DMM.6wkvsAdamts5Dcat.Sham.6wk_padjFilter
Ccr1	0.129040692396074	NA
Nppa	-0.13601425223721	0.593580353121409
Aqp7	-0.0189255818818794	0.918342276563467
Hvcn1	1.03937488466213	0.352598536062401
Gpr33	-0.0553332490031685	0.818602227332244
C230086J09Rik	-0.0264823910706239	0.975866839130224
Maml2	-0.095187669464836	0.631374778426275
A330106F07Rik	-0.0208509837619718	0.948523025738945
Ptdss2	-0.214193704775708	0.286049254732255
Lce1c	-0.133591852996805	0.494279239444918
Itfg1	0.464841219249341	0.153913441921152
Elmo1	-0.0540304708327453	0.8330953547067
Crtac1	1.24915552036663	0.0431120365066516
Pnpt1	0.0373488746973514	0.853041695819608
Sox9	0.562227950916924	0.183435834739326
Tmem144	-0.0481065147190286	0.87410068385691
Syne1	0.089624989928184	0.518782462235551
Ank1	0.0370753919837424	0.90640659960254
H2-M10.5	-0.0376172149109325	NA
Irf9	-0.0904650248959883	0.711004148213474
Erfe	0.285234230490318	NA
Pusl1	-0.0898227090690163	0.817754152616822
Tmem59l	0.108587639798324	0.847737647492353
Ldlr	0.106087315493336	0.783358421427731
Hps5	0.337538869693573	0.443377627043323
Thoc1	0.0531851448374406	0.858098366189778
Wnk1	-0.253388327225064	0.361384995852616
Scd1	1.48086236530395	0.0527569219504724
Kif13b	0.0779468528430795	0.817671033701783
Ginm1	0.262473836898342	0.517400141694029
Asph	0.237072169098329	0.268388507490887
Hao2	-0.0399701078025962	0.887629953125625
Zswim4	0.0213549694770861	0.894574742490642
2210010C04Rik	-0.221310957866587	0.0676208453085401
Tunar	-0.0408664290603467	0.864404448383433
Ssrp1	-0.175127089765328	0.451151443486701
Ncmap	-0.35629018166584	0.425568496777288
Thap2	0.134028544778418	0.565042798053932
2900092D14Rik	-0.12167865908012	0.743454860650405
Apobec3	-0.278774950638126	0.234157590889143
Slc25a30	0.146849643249911	0.466142314210403
Prdx6b	0.12086235382709	0.599165935766959
Rbm33	0.0710768452738939	0.801791309065333
Msx1	0.204078143528924	0.68287825117323
Ercc6l	0.292482560192298	0.237771525182973
Usp15	-0.123890528968173	0.580276310641983
Med18	-0.1956603465364	0.432705115772995
Hif1an	-0.16326661583268	0.468685141044175
Map1a	-0.152725677541322	0.481561101377443
Mocos	-0.191292435343879	0.615605405544427
Arhgef19	-0.721730990375158	0.0331533570737653
Zdhhc14	-0.177605928801724	0.46263348926494
Vps29	-0.0550823881734139	0.780187822119832
Hoxd3	-0.00758372389651168	0.979029296559942
H2-T22	-0.0841341726825983	0.853884971452324
Clca3b	0.0617068357178815	0.915769675232348
Higd1b	-0.504154331657955	0.291521198772505
Atp10d	-0.401934562487355	0.112080827925245
Mtus2	0.300904772857904	0.314315395496944
Tuba1c	0.138061127780068	0.773515631692298
Ngdn	0.236062359540088	0.183825254361354
Myog	0.085330010320341	0.853134491491087
Rbm47	0.243132148035723	NA
Zfp516	0.0269191225781191	0.900681772461465
Eldr	-0.451464234137892	0.159389194233667
Scel	-0.528869275589407	0.101575515179455
Slc35a1	0.782514232553925	0.13325394420158
