ID	Gene.expression.data.from.DMM.joints.16.weeks.after.surgeryvsGene.expression.data.from.sham.controls.16.weeks.after.surgery_logFC	Gene.expression.data.from.DMM.joints.16.weeks.after.surgeryvsGene.expression.data.from.sham.controls.16.weeks.after.surgery_padjFilter
0610005C13Rik	0.168471352151869	NA
0610006L08Rik	-0.290834997365808	NA
0610009B22Rik	0.0195185466542114	0.988068156798905
0610009L18Rik	0.0420138447691087	0.971954004057548
0610010F05Rik	0.0392243305380724	0.971954004057548
0610012G03Rik	0.13977903872471	0.754120777041799
0610025J13Rik	-0.314464734874584	NA
0610030E20Rik	-0.000232506204431715	0.999803867956903
0610033M10Rik	-0.218516402010024	0.57389643242528
0610038B21Rik	-0.0716167016454143	NA
0610039K10Rik	0.0276838504334282	NA
0610040A22Rik	0.118033552951951	NA
0610040B10Rik	0.0778380606025504	NA
0610040F04Rik	0.125971052228881	NA
0610040J01Rik	-0.161507176274546	0.823695919396976
0610042E11Rik	-0.035108454437526	NA
0710001A04Rik	0.112799136218588	NA
0710001D07Rik	0.144960824173553	NA
1010001B22Rik	0.0939895237185322	NA
1110002L01Rik	0.0806223687727101	0.946761883241896
1110003F02Rik	-0.0906376327054197	0.965509162631052
1110004F10Rik	0.132839563681559	0.775853758055306
1110004M10Rik	-0.0771477412663568	NA
1110006O24Rik	0.064729176176284	NA
1110008E08Rik	0.0667819576115365	0.96629882165359
1110008P14Rik	0.150400543219417	0.830546208428035
1110012L19Rik	0.0583017587088595	0.919252458586993
1110014L15Rik	-0.0205223905598313	NA
1110015O18Rik	0.337222164167014	NA
1110017D15Rik	-0.0238553187586223	NA
1110018N20Rik	0.0839650251691015	NA
1110019B22Rik	-0.253358383731607	NA
1110019D14Rik	0.026472086113178	NA
1110020A21Rik	-0.0205720114326899	0.987124848992472
1110020C17Rik	-0.00509792269833476	NA
1110028F11Rik	-0.0185486082379356	NA
1110028F18Rik	-0.0744062359430471	NA
1110032A03Rik	0.146585827678886	0.620026577803586
1110032F04Rik	0.133954702247436	NA
1110035E04Rik	0.182490383938839	NA
1110035H17Rik	0.18734617232345	NA
1110038B12Rik	-0.0140876443930562	0.990527328450361
1110038F14Rik	0.133642127912887	0.714368314794179
1110046J04Rik	-0.0230205557295076	NA
1110050P16Rik	0.0686332829707998	NA
1110051M20Rik	0.109797813604882	0.895616602874178
