ID	Gene.expression.data.from.DMM.joints.8.weeks.after.surgeryvsGene.expression.data.from.sham.controls.8.weeks.after.surgery_logFC	Gene.expression.data.from.DMM.joints.8.weeks.after.surgeryvsGene.expression.data.from.sham.controls.8.weeks.after.surgery_padjFilter
0610005C13Rik	-0.101033875700836	0.998946535872998
0610006L08Rik	0.0452524878249312	0.998946535872998
0610009B22Rik	0.0389350601096972	0.998946535872998
0610009L18Rik	-0.165748084710179	0.998946535872998
0610010F05Rik	-0.0580040727152156	0.998946535872998
0610012G03Rik	-0.219426188062549	0.998946535872998
0610025J13Rik	0.0557557858924724	0.998946535872998
0610030E20Rik	-0.0534434257141161	0.998946535872998
0610033M10Rik	-0.304526231121979	0.998946535872998
0610038B21Rik	-0.252099433929661	0.998946535872998
0610039K10Rik	0.0453363350932197	0.998946535872998
0610040A22Rik	0.0487282943976748	0.998946535872998
0610040B10Rik	0.00845943838987129	0.998946535872998
0610040F04Rik	0.0539887747869008	0.998946535872998
0610040J01Rik	0.150387047179867	0.998946535872998
0610042E11Rik	0.062350858700432	0.998946535872998
0710001A04Rik	-0.230043568721557	0.998946535872998
0710001D07Rik	-0.108641379897009	0.998946535872998
1010001B22Rik	0.00629371600455642	0.998946535872998
1110002L01Rik	-0.0108390429092635	0.998946535872998
1110003F02Rik	-0.0315388762055058	0.998946535872998
1110004F10Rik	-0.00858508943395009	0.998946535872998
1110004M10Rik	-0.0102013184477343	0.998946535872998
1110006O24Rik	0.198436911625524	0.998946535872998
1110008E08Rik	0.10260636478048	0.998946535872998
1110008P14Rik	0.0263112408883579	0.998946535872998
1110012L19Rik	-0.0255131809176579	0.998946535872998
1110014L15Rik	-0.0311599632636934	0.998946535872998
1110015O18Rik	0.0769786052428039	0.998946535872998
1110017D15Rik	0.0242031833431797	0.998946535872998
1110018N20Rik	-0.34194836842261	0.998946535872998
1110019B22Rik	0.0963922171943539	0.998946535872998
1110019D14Rik	0.288160425617585	0.998946535872998
1110020A21Rik	0.0702876627760611	0.998946535872998
1110020C17Rik	0.0154385802512156	0.998946535872998
1110028F11Rik	-0.085809308672701	0.998946535872998
1110028F18Rik	-0.239690050327172	0.998946535872998
1110032A03Rik	-0.00965982264342014	0.998946535872998
1110032F04Rik	-0.132145992017223	0.998946535872998
1110035E04Rik	-0.0558564805009585	0.998946535872998
1110035H17Rik	-0.0853924218903117	0.998946535872998
1110038B12Rik	-0.0111151799393614	0.998946535872998
1110038F14Rik	0.103739781074051	0.998946535872998
1110046J04Rik	-0.212234227551045	0.998946535872998
1110050P16Rik	0.0372454065291059	0.998946535872998
1110051M20Rik	-0.0635533945440212	0.998946535872998
1110059E24Rik	0.111881221914583	0.998946535872998
1110059G10Rik	0.00284151341419125	0.998946535872998
1110065P20Rik	-0.102626906010279	0.998946535872998
1190005I06Rik	-0.140438450701088	0.998946535872998
1200003I10Rik	0.146469480762486	0.998946535872998
1200007C13Rik	0.114147947174433	0.998946535872998
1300002E11Rik	0.0442352888845292	0.998946535872998
1300014J16Rik	0.369389158198349	0.998946535872998
1300017J02Rik	0.09140795020204	0.998946535872998
1500002F19Rik	-0.0726021981242448	0.998946535872998
1500002I01Rik	-0.134628301566669	0.998946535872998
1500002K03Rik	-0.0276430759071848	0.998946535872998
1500004A13Rik	-0.0575774650520335	0.998946535872998
1500004F05Rik	-0.101782088498302	0.998946535872998
1500005C15Rik	0.0961979462282727	0.998946535872998
1500009C09Rik	-0.0618505884695191	0.998946535872998
1500009L16Rik	-0.0787162064170932	0.998946535872998
1500011B03Rik	-0.0502532020086903	0.998946535872998
1500015A07Rik	0.00347917215812288	0.998946535872998
1500035N22Rik	0.133295498182664	0.998946535872998
1520401O13Rik	0.143080780955721	0.998946535872998
1600002K03Rik	0.108162979284475	0.998946535872998
1600010M07Rik	-0.119150414622662	0.998946535872998
