ID	OA.Subchondral.bone.from.medial.tibialvsNormal.Subchondral.bone.from.medial.tibial_logFC	OA.Subchondral.bone.from.medial.tibialvsNormal.Subchondral.bone.from.medial.tibial_padjFilter
A1BG	-0.054592739630829	0.80586048234824
A1BG-AS1	0.308975642060659	0.206217545802754
A1CF	0.0393126877766941	0.626040924359563
A2M	1.09645758068137	1.18218155025042e-07
A2M-AS1	0.183165411245639	0.264547798800327
A2ML1	-0.313721245818122	0.000263726848051696
A4GALT	0.279563837896028	0.109643554675489
A4GNT	-0.0755623013998559	0.447564401416624
AAAS	0.213299850306454	0.100836360527645
AACS	-0.447659369706724	0.00543776022077702
AACSP1	-0.0785403091335279	0.420916080394802
AADAC	-0.0639047619707762	0.592740248042074
AADACL2	-0.046200187459509	0.842223739094289
AADACL3	-0.159046616554328	0.187728006580469
AADACL4	-0.0345268315708998	0.710405158880386
AADACP1	0.0894636004729952	0.488075030386875
AADAT	0.930903301334343	1.35950377637699e-08
AAGAB	-0.00491671407317718	0.979647140636087
AAK1	0.104508308554724	0.431204235956659
AAMDC	0.344017560447192	0.0823590957405011
AAMP	-0.591268896105944	0.000728191320275962
AANAT	0.719429701886003	0.175582420784604
AAR2	0.128442471889469	0.128007014444446
AARD	0.192433154115197	0.118870452585076
AARS1	-0.117105434455894	0.518373449030306
AARS2	0.0750091781565718	0.554076231780777
AASDH	0.299600527871781	0.0269125452587514
AASDHPPT	-0.0426134111330967	0.755605854741924
AASS	-0.420305110441367	0.0102251278765981
AATBC	-0.171584053867932	0.449426091680594
AATF	-0.47493843666507	2.49704838304159e-06
AATK	-0.746360723460061	2.31236509472671e-06
ABAT	-0.00953709103360456	0.932393301325026
ABCA1	-0.41791277756419	0.0373665390537435
ABCA10	0.11455930442107	0.449311472763742
ABCA11P	-0.0243534096801579	0.916065820070847
ABCA12	0.10041734986082	0.28489121073742
ABCA13	-2.22589067044423	9.20378820822173e-09
ABCA17P	-0.00511994031018226	0.975486363132467
ABCA2	0.312984447892499	0.00525795399853651
ABCA3	0.231906729316998	0.270942345141126
ABCA4	-0.32670382066078	0.0488535705206599
ABCA5	-0.283766936756971	0.0863452338278359
ABCA6	0.405484595097883	0.262879575486723
ABCA7	-0.838482243822826	3.02446330167846e-05
ABCA8	0.262685631008628	0.450567175508204
ABCA9	0.0890230521342232	0.716829377992592
ABCB1	1.0493559865054	8.70219791026087e-08
ABCB10	-1.8834986818884	9.89562832587895e-15
ABCB11	-0.0789815020833871	0.412354578480303
ABCB4	1.30238146772108	2.41596588977297e-08
ABCB5	0.235445377120789	0.279203782701168
ABCB6	-0.451205876074932	0.000650233613523859
ABCB7	-0.306567798839433	0.00171114584577417
ABCB8	0.547130797500796	3.05122930116746e-05
ABCB9	-0.198551464693201	0.0776115479378218
ABCC1	-0.104131675905874	0.462012550698731
ABCC10	0.212506520871347	0.00396332312397113
ABCC11	0.213364831066008	0.220521536405393
ABCC12	-0.0427700152980668	0.707074711660037
ABCC13	-0.716651604402576	1.27373488137264e-07
ABCC2	-0.494330181072136	0.000991912266911378
ABCC3	0.457751747958007	0.0382997149540585
ABCC4	-0.372815146749168	0.00505304304855317
ABCC5	0.84290805881777	0.000179621513007408
ABCC6	0.15999769550058	0.573717341185988
ABCC6P1	0.0537760678375152	0.796574355705266
ABCC8	0.479657802566372	0.164624080405786
ABCC9	0.715329520611554	1.02554622574008e-05
ABCD1	-0.176589240061453	0.226352653581396
ABCD2	-0.661485790341325	0.0562978169446416
ABCD3	-0.122446697747824	0.342274657422133
ABCD4	0.0521660831706487	0.528282256461014
ABCE1	0.0228367250542973	0.862777048157678
ABCF1	-0.43625142859351	2.67483302657355e-06
ABCF2	-0.652862628262016	6.42690468873392e-07
ABCF3	0.0557224010678041	0.508742720583739
ABCG1	-0.534403084279113	0.000207222945936131
ABCG2	0.459625428636137	0.0609596133797833
ABCG4	0.660027086387505	2.64513440805207e-06
ABCG5	0.157934139979758	0.0631032877073126
ABCG8	0.384717160108274	0.00781587926102136
ABHD1	-0.0251931935001402	0.920034841451943
ABHD10	0.091313505887868	0.358447359092232
ABHD11	-0.24290061405142	0.0634587751284526
ABHD11-AS1	0.0691227263726519	0.504148671794913
ABHD12	-0.139876300171077	0.459016162699048
ABHD12B	-0.0535540553157023	0.638546228721351
ABHD13	-0.216436391453977	0.0031786504305017
ABHD14A	0.608745412260253	1.18656344889704e-07
ABHD14B	-0.142951009260146	0.346458837356305
ABHD15	-0.163840433913435	0.417891946215352
ABHD16A	-0.158502438048885	0.174917080914975
ABHD16B	0.0247377146113141	0.905755029321542
ABHD17A	-0.269745823060726	0.014243149351104
ABHD17B	-0.180607060736447	0.0191355530028398
ABHD17C	0.10003836666452	0.564906905569899
ABHD18	-0.374258598251212	0.000431220858564535
ABHD2	-0.540945279568454	0.00157141654189672
ABHD3	0.0584325294933841	0.753313926916337
ABHD4	0.496627621102634	1.57606282184507e-05
ABHD5	-1.29484360363589	8.09221916078707e-09
ABHD6	0.488628276697995	0.00437647826973577
ABHD8	0.307096086374294	0.0883900177933596
ABI1	-0.0181282823190507	0.91047099322565
ABI2	0.127195174010826	0.51883330058692
ABI3	0.344407002999734	0.00282740044889662
ABI3BP	0.647200298009611	0.00766241334704739
ABITRAM	-0.13982537286674	0.124427524915241
ABL1	-0.420183646105828	1.4042383489493e-05
ABL2	-0.237979111603298	0.245822429974661
ABLIM1	0.710240845676935	0.00163103031255475
ABLIM2	-0.0781854161444002	0.577614744034255
ABLIM3	-0.828153438500395	0.000164462457277143
ABO	-0.168444722915581	0.416468999820612
ABR	0.515225961173373	1.5882414187305e-05
ABRA	0.046714232356015	0.783288540608602
ABRACL	-0.0372362192482605	0.88826482069817
ABRAXAS1	0.183883444822166	0.0693010016784621
ABRAXAS2	-0.0384437301719291	0.749962201038949
ABT1	0.0721045514479552	0.491031637477629
ABTB1	-0.0681511444096046	0.675469555823003
ABTB2	-0.286704940126105	0.131173801680306
ACAA1	0.0359672063511933	0.735712738119526
ACAA2	-0.0718379193456808	0.683385041027409
ACACA	-0.392690603424233	0.00432996888741151
ACACB	-0.777476950344825	0.0240767095588312
ACAD10	0.103927587811073	0.337671564974505
ACAD11	0.341327532054546	0.176438900024702
ACAD8	-0.273778787854913	0.00550194710950732
ACAD9	-0.305715432230549	0.0115372667691163
ACADL	-0.967978247130036	0.00120247552470031
ACADM	0.149899991564142	0.30444564381141
ACADS	-0.848166698678604	0.000360845895019677
ACADSB	0.195792107158262	0.0695925510796309
ACADVL	0.0424344559112964	0.817677209543073
ACAN	0.49425881524596	0.188263897700014
ACAP1	-1.59606970359899	1.1152453691934e-08
ACAP2	0.154420946064462	0.335449542568015
ACAP3	0.400693404053936	1.61394899259573e-05
ACAT1	-0.362156052592383	0.00536857488318934
ACAT2	-0.128543917788619	0.223680038155857
ACBD3	0.193877104309541	0.130365643818154
ACBD4	0.0598275360300082	0.680177806725049
ACBD5	0.218983737734993	0.0328035597413621
ACBD6	0.0699507687016911	0.441453497799694
ACBD7	-0.0456409114654974	0.820203088893239
ACCS	0.299876570806115	0.118962028700602
ACCSL	-0.160206870478346	0.101716821897407
ACD	0.287841266221449	0.00299446087070865
ACE	0.419748715628534	0.000141005036199027
ACE2	-0.224131493442435	0.127370220064756
ACER1	0.078259560633958	0.59973115035257
ACER2	-0.0511590542019604	0.683158184885683
ACER3	-0.138274532053702	0.170324390663208
ACHE	0.284440750578051	0.420035088486801
ACIN1	0.203495296039996	0.167462596198209
ACKR1	-0.726166136925938	0.0246704999515423
ACKR2	0.00154253209881272	0.994226526105272
ACKR3	-0.0885848235185414	0.726053457264656
ACKR4	0.10178944921877	0.451864215219745
ACLY	-0.386675695677727	0.00572502178294691
ACMSD	-0.0510179722862052	0.460825949993839
ACO1	-0.826261958911935	0.0018758776624839
ACO2	-0.0518773064051778	0.711484364526975
ACOT1	-0.645130097990416	0.00137085728418578
ACOT11	0.553103194512255	0.00116804156979687
ACOT12	-0.515140821796973	0.00389161916614964
ACOT13	0.292732413911061	0.0208296238754405
ACOT4	-0.382906193658981	0.102303407167583
ACOT6	-0.137393095623735	0.299062452817131
ACOT7	-0.0962891259488323	0.605368707003487
ACOT8	-0.155160183783135	0.107058692600361
ACOT9	0.263239148139563	0.00578447087786166
ACOX1	0.0412302059567526	0.830339802569824
ACOX2	0.76287717706388	8.72142052257492e-06
ACOX3	-0.153358179471514	0.215285761387906
ACOXL	-0.529696907425032	0.0442346964537532
ACOXL-AS1	-0.0278215705698033	0.941775855868227
ACP1	-0.572992156024947	6.64586104279273e-06
ACP2	-0.263853133752403	0.0406550630672179
ACP4	0.143394401267352	0.331216263325882
ACP5	2.02597964321141	0.000311316130601494
ACP6	-0.102713929320421	0.620187819532659
ACP7	-1.05378509486497	1.17208675964792e-06
ACPP	-0.749509555465679	2.42374764690358e-10
ACR	-0.114124655276596	0.285900890882199
ACRBP	-0.954051973690555	1.15158501855289e-05
ACRV1	-0.0925400969454202	0.314354509272206
ACSBG1	-0.642089785035613	6.60438176528085e-07
ACSBG2	0.239751570435591	0.0715134274368284
ACSF2	0.542973581015342	0.000792549973516145
ACSF3	0.341386691837489	0.199910645124162
ACSL1	-1.62312245667419	0.000160256416201736
ACSL3	0.404192684933811	0.000958740146545187
ACSL4	-0.0429275532106317	0.834530523406276
ACSL5	-0.549033177728393	0.000975228919373122
ACSL6	-2.7723594100523	1.91873941253595e-11
ACSM1	-0.330665416294099	0.00103203855015697
ACSM2B	0.0732463881479655	0.690552200891669
ACSM3	-0.319603229651486	0.0256484169033982
ACSM4	-0.0200289269126062	0.935090337687386
ACSM5	-0.299928389571043	0.23019409548396
ACSM6	-0.0828796110034835	0.387707555210277
ACSS1	-0.163688620460238	0.226308544722785
ACSS2	-0.515499408614485	0.00263176886944907
ACSS3	-0.229096533700854	0.380674873915447
ACTA1	0.722948101237714	0.568343840567153
ACTA2	1.40541143726955	1.27373488137264e-07
ACTA2-AS1	0.256633502910271	0.0402203847477919
ACTB	0.210267000320322	0.0812675377589406
ACTBL2	0.254229289605259	0.0497152849632562
ACTC1	0.0940879194624911	0.305310551619796
ACTG1	0.203650089853364	0.0963894285110838
ACTG1P17	0.136450827030199	0.298841541046795
ACTG1P20	0.338120146741293	0.0107360881974634
ACTG1P4	0.964222047437863	0.0262658438480494
ACTG2	0.496239159357303	0.101889766861023
ACTL10	0.562918965850038	0.000565146595620345
ACTL6A	0.0395663259540537	0.696497073077043
ACTL6B	-0.0648213707002405	0.789800026291732
ACTL7A	0.0351959753603781	0.874605537474163
ACTL7B	-0.0740398564945872	0.623314302847327
ACTL8	0.0412295856215064	0.788386726093275
ACTL9	0.178309899880823	0.154990524172411
ACTN1	-0.0138544613711158	0.945043677158806
ACTN2	0.137496335647798	0.272625660509345
ACTN3	-0.151841050510887	0.327017182608405
ACTN4	0.227545073930061	0.0863995500496551
ACTR10	-0.250568120161885	0.015688098941942
ACTR1A	0.0918926270284803	0.433209654557959
ACTR1B	-0.441178299548488	0.0027287505947486
ACTR2	0.189095178475791	0.166741243360868
ACTR3	-0.222718461422692	0.0832332662999093
ACTR3B	-0.0166943692721571	0.925606175027447
ACTR3BP2	0.0209213393878782	0.884013984869462
ACTR3BP5	0.464160634320923	0.0080467450604916
ACTR3C	-0.459115675623684	0.00213177354653702
ACTR5	-0.155861073359691	0.0400253522415918
ACTR6	0.408255048363566	0.00569475484407288
ACTR8	0.25071326888768	0.00943193402629174
ACTRT1	-0.0647182743175012	0.617474577768512
ACTRT2	-0.0294140550907995	0.85570140023173
ACTRT3	0.223103605395655	0.120196672669462
