ID	monosodium.iodoacetate..MIA..28vsnaive.0_logFC	monosodium.iodoacetate..MIA..28vsnaive.0_padjFilter
A1bg	-0.00681190899311268	0.987638774044828
A1cf	0.253449018962434	0.232722609242201
A2ml1	-0.0903560874680123	0.630691536530773
A3galt2	0.358103803723751	0.0138462057768019
A4galt	-0.208671906849485	0.310606169130893
A4gnt	0.0195080371001195	0.949297266690687
AA926063	0.240061134269566	0.3492937973828
Aaas	0.18302946947505	0.314967214113618
Aacs	0.0253728822412711	0.873898198602009
Aadac	0.0287855137990389	NA
Aadacl3	0.235837761214194	NA
Aadacl4	0.0540282125257159	0.865709076573512
Aadat	-0.174850457211938	NA
Aagab	0.130856079680402	0.405945441125708
Aak1	0.0721780952134221	0.532717611150969
Aamdc	0.108507749531122	0.591350188924811
Aamp	-0.104464927052517	0.645807863811285
Aanat	-0.063187624165975	0.697175248127809
Aar2	-0.0256180295710076	0.864329034424489
Aard	-0.584729932063587	0.0340872318380167
Aars	0.15393322821229	0.406336211229094
Aars2	-0.0289333769633684	0.869637801254701
Aasdh	0.0475150844848944	0.840177653441384
Aasdhppt	0.0762791239309308	0.769672219795411
Aass	0.0430301566459663	0.891140594186512
Aatf	-0.0673318222407859	0.698622704966342
Aatk	-0.188829332722895	0.278184472678667
Abat	0.0543833346562828	0.790476827369918
Abca1	-0.483840426448186	0.00548240625654612
Abca12	-0.129662848808113	NA
Abca13	-0.0545932192969634	0.859931058915254
Abca14	-0.353270731578294	NA
Abca15	-0.0343778080784389	NA
Abca16	-0.0518968445472066	0.900430062025517
Abca17	0.293223137987336	0.100530708290248
Abca2	-0.282027436969472	0.0752858830477047
Abca3	0.0186462936086862	0.951729444657042
Abca4	0.118526663585637	0.399565898811928
Abca5	-0.515625651783171	0.0283692946916344
Abca6	0.131457503702574	0.648817985756337
Abca7	0.0728431441057902	0.669787920392228
Abca8	-0.348962915296841	0.114629753912823
Abca8a	-0.892240448709723	0.000940700526624115
Abcb10	-0.646260127150459	0.0157318274112209
Abcb11	0.0892386696213041	0.654774393531922
Abcb1a	-0.191654142171743	0.350526903520243
Abcb1b	0.467272163098447	0.037591622091563
Abcb4	0.111911576699997	0.66373295127105
Abcb5	0.015533625902334	0.961519898120059
Abcb6	0.215153013877757	0.147196859109168
Abcb7	-0.199249748827459	0.118409382076172
Abcb8	0.107163761492111	0.444315242756238
Abcb9	-0.183383432108093	0.338804055217499
Abcc1	0.000734440134666059	0.997369802977254
Abcc10	-0.183107531068158	0.145492823381618
Abcc12	0.198608992899745	0.352487433478597
Abcc2	0.119072662814012	0.572527154789906
Abcc3	-0.338849964957074	0.154277633143638
Abcc4	0.333574748163226	0.0380941508825059
Abcc5	-0.0420900179037318	0.795853815719495
Abcc6	0.102359253282713	0.614368086014293
Abcc8	-0.0675449274832056	0.810868606021998
Abcc9	-0.158404014477087	0.468418483549391
Abcd1	-0.238223560624473	0.341788048827404
Abcd2	-2.77017969452481	1.47900892232982e-05
Abcd3	0.0522871173730781	0.810723720767809
Abcd4	-0.0571822507595057	0.783893799319223
Abce1	0.210667756876083	0.176103312205659
Abcf1	-0.0223213122928714	0.902422482542972
Abcf2	0.0779763750870917	0.654774393531922
Abcf3	0.0404283871883706	0.832117858240092
Abcg1	-0.617657386350617	0.00176993567008639
Abcg2	-0.823703913655647	0.00876822861344674
Abcg3	0.128768893692003	NA
Abcg3l1	-0.179527523246902	0.402594412526518
Abcg3l3	0.203241977929743	0.468797043904389
Abcg4	-0.426653775391395	0.119967509429577
Abcg5	0.034574570211058	0.924459744079405
Abcg8	0.046972623218883	0.823277430099666
Abhd1	-0.492681665781201	0.00800781624402349
Abhd11	0.0732648388089316	0.710555326108064
Abhd11-as1	-0.225018752618378	0.0508826342577727
Abhd12	0.313378126647489	0.0551458652004494
Abhd12b	-1.39146445629204	0.000922960750064587
Abhd13	0.0110304280875102	0.958625845077084
Abhd14a	-0.197648185379232	0.304696451727451
Abhd14b	-0.411604327499584	0.0753812633648355
Abhd15	-0.80553929720888	0.0138576587400962
Abhd16a	-0.163333048792385	0.291171101374035
Abhd16b	0.0829091573072276	NA
Abhd17a	0.112079233734352	0.602140978035561
Abhd17b	-0.0327175768466184	0.86684413817393
Abhd17c	0.629984112000154	0.0035480006652743
Abhd18	0.179403119581385	0.396339560483039
Abhd2	0.384532273378113	0.0154500649554207
Abhd3	-0.100756717721661	0.568838754302767
Abhd4	0.00423527528554857	0.988184572103017
Abhd5	-0.161532115762611	0.345351779193043
Abhd6	0.0295689413789724	0.88584034631104
Abhd8	0.248202566713848	0.17427310972474
Abi1	0.146940636880876	0.328567590214964
Abi2	-0.160578217223815	0.143146019868726
Abi3	0.0267062181553985	0.92524301613726
Abi3bp	-0.284426035621138	0.19101257924084
Abitram	0.0706856895252841	0.74818202737908
Abl2	0.381604102760203	0.102079467500264
Ablim2	-0.0947553632248219	0.717656760716923
Ablim3	-0.513160164763416	0.0203310625043827
Abo	-0.00530200899350763	0.987638774044828
Abo3	0.0419810542578052	0.869821463279664
Abr	0.509557937304999	0.0144677252597988
