ID	monosodium.iodoacetate..MIA..14vsnaive.0_logFC	monosodium.iodoacetate..MIA..14vsnaive.0_padjFilter
A1bg	-0.0969965256939291	0.717049309220009
A1cf	0.246822707094404	0.173546005869867
A2ml1	-0.154078225410581	0.288646692345834
A3galt2	0.596236393353546	0.000290074013067845
A4galt	-0.155952916676489	0.380965743108984
A4gnt	-0.0400465943669177	NA
AA926063	0.411749704865888	0.0583919706445136
Aaas	0.300888792545555	0.0534826927507368
Aacs	-0.0194405922632157	0.879849246385288
Aadac	0.278337426089013	NA
Aadacl3	0.282656338547275	NA
Aadacl4	0.115988874928634	0.620424983560308
Aadat	-0.314580846761684	NA
Aagab	0.116356644992269	0.381907763910523
Aak1	0.122236322348165	0.182706056303248
Aamdc	0.0531317750483149	0.768255637077081
Aamp	0.0693424363905777	0.721902899873136
Aanat	-0.0905025682410541	0.469157887856007
Aar2	0.00474923718115416	0.971776836478471
Aard	-0.622779148314169	0.0129203252698107
Aars	0.210504436477997	0.168037496817144
Aars2	0.0202951219106433	0.887036343946757
Aasdh	-0.0765961834832121	0.669308797939702
Aasdhppt	0.0988602297749308	0.62457819315472
Aass	0.0379281542820342	0.878757434843981
Aatf	0.0104272830309631	0.94797407484887
Aatk	-0.0571491702096862	0.733002171869317
Abat	0.0370021435218604	0.827878447277883
Abca1	-0.256978032520738	0.0619566098609202
Abca12	-0.083421943348907	NA
Abca13	-0.114801630218297	0.61381307482197
Abca14	-0.286203162539017	NA
Abca15	-0.166248283675246	NA
Abca16	0.206486514336156	0.45797607013193
Abca17	0.280476252163945	0.0699273108085914
Abca2	-0.363704666362768	0.0129469196902065
Abca3	-0.0617982426861694	0.762929902146499
Abca4	-0.0713098585446161	0.565668987580837
Abca5	-0.466917929987084	0.02356349753764
Abca6	-0.216678152300743	NA
Abca7	-0.109582894486241	0.405952561520159
Abca8	-0.287103865852552	0.130203416092477
Abca8a	-0.764839535613014	0.00113317610185733
Abcb10	-0.391649268606018	0.0758964436692191
Abcb11	-0.0346529281519166	0.845440485270622
Abcb1a	-0.294397330852446	0.0872338715186188
Abcb1b	0.56506885445253	0.00724092181870644
Abcb4	0.0495814302825837	0.82716570741402
Abcb5	-0.0741151768837529	0.726388610586682
Abcb6	0.145816446429532	0.257708556821408
Abcb7	-0.219391047280515	0.0494688572498336
Abcb8	0.163568984518438	0.151229399875951
Abcb9	-0.243073139372806	0.129448396818068
Abcc1	-0.0065752040896907	0.962360274810498
Abcc10	-0.161907184623012	0.133936537914353
Abcc12	0.0411327209764218	0.845869475473991
Abcc2	0.120829076150449	0.484096931557298
Abcc3	-0.290586677443823	0.15528726392735
Abcc4	0.226954583815898	0.0953100986076143
Abcc5	0.0449737800654297	0.729566679492275
Abcc6	0.127303972160979	0.431118853439154
Abcc8	-0.129392015737677	0.538015761371533
Abcc9	-0.177318609859297	0.322807909489785
Abcd1	-0.0960294123475354	0.681673816950208
Abcd2	-1.9709745025874	7.46608401641886e-05
Abcd3	0.00823946754816518	0.967397374290801
Abcd4	0.219542103288619	0.136642069112245
Abce1	0.306490806605407	0.0278164359996041
Abcf1	-0.0706714493989873	0.570088072120571
Abcf2	0.207874555246024	0.112996940150348
Abcf3	0.08210637496936	0.556724070825927
Abcg1	-0.0393439514871918	0.816753161548009
Abcg2	-0.587221883857146	0.0249367107888989
Abcg3	0.0371643579231451	NA
Abcg3l1	-0.269399169532769	0.127563793020714
Abcg3l3	0.170541902701627	0.470482837932311
Abcg4	-0.493434519774938	0.041416978868709
Abcg5	0.0608984045763021	0.819444295096506
Abcg8	-0.114028636102051	0.451939856179313
Abhd1	-0.389377145965701	0.0139450886079166
Abhd11	0.143825777799341	0.328649364681624
Abhd11-as1	-0.207354407327121	0.0398553797642169
Abhd12	0.494149238905971	0.0025865880054536
Abhd12b	-1.3055047223923	0.000625536543007042
Abhd13	-0.073365873006189	0.575383545752949
Abhd14a	-0.203021787576834	0.212816161794338
Abhd14b	-0.390743453524562	0.0527992643225683
Abhd15	-0.615228573087618	0.026998953336734
Abhd16a	-0.0671831818537445	0.640005816127671
Abhd16b	-0.0438486985945694	NA
Abhd17a	0.0482852429583076	0.802909740746852
Abhd17b	0.000469322481535528	0.998011320668302
Abhd17c	0.385285706030078	0.0247489737547411
Abhd18	0.130674938070262	0.474979273433546
Abhd2	0.107006531193655	0.426241651388157
Abhd3	-0.270778350894335	0.0542200749345574
Abhd4	0.0800261837076714	0.631745635760514
Abhd5	-0.144796674672426	0.320423868417509
Abhd6	-0.0691377942026126	0.639979599904263
Abhd8	0.0893057482262369	0.599230809421527
Abi1	0.060234748645021	0.667750941730934
Abi2	-0.147474006628727	0.11763889462365
Abi3	0.140625213640851	0.443136292797233
Abi3bp	-0.446842357150601	0.0225578296630673
Abitram	0.099768955836284	0.55422963910347
