gene_name	Day1vsControl_log2FoldChange	Day1vsControl_padj
	2.54432435709966	3.26024144895505e-11
TTC38	-1.26801737412184	2.32430164581715e-19
CDPF1	0.421241803430825	0.0213484201502682
PPARA	-1.23305469939642	1.77720120857903e-07
TRMU	0.541673929355291	0.000325882959455603
FBLN1	-1.16528965046081	0.0135489750477822
FAM118A	0.524790295974979	0.00223779534470179
KIAA0930	-0.132390181207492	0.49941800546008
NUP50	0.75386513349604	1.66242369930627e-46
PHF21B	-1.0681685751387	0.0435250790541817
	-0.440073085053422	0.462939479861015
RTL6	-0.593291483287839	0.156529404229744
PARVB	-0.181415577420616	0.573336822519582
PARVG	-0.474315911446904	0.145626554403993
SULT4A1	0	NA
	0.103250450778647	0.981092709809602
SCUBE1	-1.97593383463921	1.81051051460738e-08
MCAT	0.552698478304282	0.00991613477112414
TSPO	-0.906242762995892	0.00248383000954485
TTLL12	0.567037874988199	0.00473488280236491
TTLL1	0.432386865214045	0.00134673005242334
PACSIN2	-0.303712125099973	0.0052043098032811
ARFGAP3	0.384834107224028	3.09765994255537e-07
CYB5R3	-2.09916640023887	1.70001403239391e-28
POLDIP3	-0.097266021913051	0.131770222018719
SEPT3	0.514451649775221	0.0113926076956056
NDUFA6	0.75245469746058	1.41031873623287e-06
CYP2D25	3.62114349995156	7.96307059094558e-35
NAGA	-0.999225786605165	2.00038522289535e-06
C22orf46	NA	NA
SNU13	0.779390873005271	2.1397208799775e-22
XRCC6	-0.0344406844733725	0.842646299986233
PMM1	-0.067055603583478	0.785645773363478
CSDC2	-1.37065494717295	0.00072034654760368
POLR3H	1.02398822968694	4.38290613562105e-06
ACO2	0.295776196512549	0.0953901743492813
L3MBTL2	0.693578968372062	1.97400920410593e-11
CHADL	-0.757450277546771	0.161371716590231
EP300	-0.565830011724594	0.000209920348085573
	-0.238829032753415	0.0856166703905523
SLC25A17	0.474643437079319	0.0208316780494158
	0.0673239057484361	0.868495501066281
MCHR1	4.33228040510056	9.99366247051896e-37
MRTFA	-0.358016318068533	0.160019161911335
SGSM3	0.322584279715548	0.210504220555932
ADSL	0.0956866349290696	0.420401438261641
TNRC6B	0.667714924970269	7.56212470203728e-07
FAM83F	1.05140685463892	0.0029317474962464
GRAP2	0.045655849507467	0.903994546765271
	-0.975090604773427	0.00709117067941591
CACNA1I	-0.281735286336337	0.771879507967792
RPS19BP1	0.608367899133561	0.00387289955484978
ATF4	0.507977701652028	1.58188075822107e-05
TAB1	0.0786102327102053	0.796573159513911
	0.293493158072136	0.0885208857593093
CBX7	-3.51315423778918	2.79375927763374e-20
APOBEC3B	0.33424913134534	0.203481788613825
NPTXR	-0.00989680280510462	0.992743639269487
DNAL4	-0.396757140273797	0.00888892030046741
SUN2	-1.32474814937147	1.95368375853513e-15
GTPBP1	-0.153766453080963	0.181190625998645
	0.743753442402721	2.50273236119485e-17
DMC1	-1.11527157466704	0.0364660786296911
DDX17	-0.169381268308416	0.111469105299387
KDELR3	1.59439041418391	1.36506653660358e-16
KCNJ4	-0.0494390631734951	NA
	-0.13748786771677	0.235167824550032
TMEM184B	0.68986766014528	0.00381250847400127
PLA2G6	-1.09400298060104	1.71269302800205e-05
BAIAP2L2	2.10549780913563	5.37923409781784e-12
SLC16A8	-0.155259564537103	0.913699795210629
PICK1	-1.07491082583302	2.60036330890909e-08
POLR2F	0.41898996231363	0.0344881020606357
C22orf23	0.670912667509128	0.00315434431301575
MICALL1	0.896453044353229	0.00015098492472239
EIF3L	-0.0247372644300875	0.880728568006191
ANKRD54	0.384911200190579	0.000611226119619638
GALR3	0.233987369412765	0.737186483908385
CYTH4	-0.462028341254174	0.149346339718292
ELFN2	-0.0296710690999489	NA
TEX33	-0.857122551706312	8.28054748466444e-17
TST	-1.12838964645734	0.00615649202013238
KCTD17	0.873895096715604	8.61716729207892e-06
CSF2RB	0.25652848050209	0.534472989362077
NCF4	-0.500563410686495	0.0694537842298097
PVALB	-0.577524697128677	0.401788734175213
IFT27	0.527147877082776	0.00734254060237359
EIF3D	0.520558700639006	2.79402040481441e-08
FOXRED2	-0.502168284913896	0.0143125072971119
TXN2	0.442909231365094	1.38809557252144e-06
MYH9	-0.0598443298260556	0.793151926572668
MYH11	0.387227798212362	0.307725204434452
	-0.222544064163199	0.563598441361689
	-2.52748588779935	1.87045217857172e-05
RBFOX2	0.368479309558609	0.00990461513488756
FBXO7	-0.742069480184241	4.34192092935162e-06
BPIFC	-0.395689911991075	0.153830225543039
RTCB	1.54122762485918	7.42555320500554e-57
ASCL4	NA	NA
PRDM4	0.344328947173752	0.000996901747142654
PWP1	1.01332940470711	6.79031843481702e-55
BTBD11	-0.803146029888341	0.0059916373966124
CRY1	-0.267026611535434	0.202417796392632
RIC8B	-0.212424127717525	0.103854379719523
POLR3B	0.50237676448795	5.03435980190441e-13
CKAP4	2.40190613201387	1.3225259688485e-28
TEX49	0.0226205176595477	0.8633363001272
ADCY6	-0.412801955951979	0.0581137425297404
DDX23	0.697280103561082	2.58154595929434e-25
CCDC65	-0.533946398215562	0.0117128038384049
FKBP11	1.97073984978321	1.82159596785227e-23
WNT10B	-1.88518827169342	2.26419132034651e-19
WNT1	0	NA
DDN	-0.1424234166655	0.755066650500452
PRKAG1	-0.244851766348363	0.0235556994766574
RHEBL1	0.054746376799144	0.873542795740579
DHH	1.26259943372691	0.0184919009192541
LMBR1L	-0.483868541798253	0.008815770825762
TUBA1B	1.50631775904696	9.07099603652463e-21
	-0.580672702176786	0.0412039193640028
	2.20451440911256	4.75204031671039e-72
PRPH	-0.495581940270943	0.144129096296795
C1QL4	1.80228758876458	0.00338450499022778
DNAJC22	-0.292359584485426	0.782535567158905
	1.04426731647472	3.90792963433976e-14
MCRS1	0.00943950383446282	0.967496632222765
KCNH3	-1.50114382370617	2.31222156240095e-05
PRPF40B	0.0120414519118784	0.956224974159899
FAM186B	-0.155311606699278	0.622620242765743
FAIM2	-3.38375210447275	8.30850028456059e-10
	-1.23382352467998	0.0311927345859842
NCKAP5L	-0.824758617863799	0.00767082523924266
AQP5	-0.483584466013673	0.191840800177104
AQP6	-0.199345220129691	0.691920643713359
GPD1	-2.21089584730654	4.94733646464168e-05
SMARCD1	0.0986263587826816	0.336696536284612
ASIC1	0.636534335698387	0.0262844366838039
	2.08477425172698	1.29881389575964e-08
	-0.759527789080409	0.000731798629991249
BIN2	-0.366783759371771	0.275262200713574
SCN8A	1.50750411655703	1.113078808014e-07
ANKRD33	0.5882738152633	0.356218838837116
ACVRL1	-0.255679950459973	0.244434151765005
ACVR1B	0.375902082626311	0.0143724465593156
GRASP	0.56913393739305	0.0628625344240946
KRT82	NA	NA
KRT75	NA	NA
	-0.0404245757970688	NA
	-0.285253291042076	0.626184177009841
KRT85	-0.0404254629394617	NA
KRT84	-0.0404304295395131	NA
	0.359291240126903	0.772911142259052
KRT71	NA	NA
KRT5	0.0311878546468805	0.974588200104238
KRT72	NA	NA
KRT73	NA	NA
KRT1	-0.0404275074394175	NA
KRT8	0.0911182517735355	0.949526059140924
KRT18	0.0246396878437844	0.954188282901533
ITGB7	0.847327511792959	0.00773645909262727
RARG	0.0436361425711409	0.838412514560262
CSAD	-1.31988121922234	1.29977943305808e-06
SOAT2	-0.0574638096303692	0.89799620018257
IGFBP6	-1.48967311889418	0.000131963548062526
SPRYD3	0.208609582945008	0.173322536466185
