gene_name	Day9vsControl_log2FoldChange	Day9vsControl_padj
	0.150802689588527	0.960367673782731
TTC38	-0.112611701093898	0.565577619990768
CDPF1	0.13442659096112	0.662518035435319
PPARA	-0.928648570395538	0.0014980534662237
TRMU	0.163520694039576	0.454735362733739
FBLN1	-0.34650762411266	0.754813349176717
FAM118A	0.350409539225575	0.134603897281109
KIAA0930	-0.547600285421562	0.00485069600152679
NUP50	0.0249276929351483	0.803615983471901
PHF21B	-1.26580308281394	0.0392805111804807
	-0.0219239263576747	0.872818859215883
RTL6	-0.679301331452563	0.150401093951899
PARVB	-0.963465094277222	0.00121970416010643
PARVG	-0.459151491251635	0.17918883937726
SULT4A1	0.0200553586277375	NA
	0.371408397097505	NA
SCUBE1	-0.928450103898105	0.0412681322148535
MCAT	0.257413443368261	0.387669675097871
TSPO	-0.637663936593961	0.0776536856584849
TTLL12	-0.214003927514482	0.510621591521144
TTLL1	0.152882219181208	0.458189121803531
PACSIN2	-0.329609114925141	0.00953160404965707
ARFGAP3	0.17480011361168	0.0823365286263413
CYB5R3	-0.752467488307175	0.00159072283365045
POLDIP3	-0.0076487767723326	0.972365623220606
SEPT3	0.475118451651213	0.0467935069612002
NDUFA6	0.0611767007148817	0.822583862922335
CYP2D25	0.991784456889575	0.0338995923516204
NAGA	-0.549618928089114	0.0354274870252036
C22orf46	NA	NA
SNU13	-0.184276238207715	0.0982045498039251
XRCC6	0.0604390401890906	0.73230883269119
PMM1	0.255450735281086	0.387460631782392
CSDC2	0.110025036777176	0.778890785859352
POLR3H	0.146660247683582	0.745928300753886
ACO2	-0.37082365458478	0.0880971046655398
L3MBTL2	-0.100396093201341	0.545666190575819
CHADL	0.264059243165684	0.599359466046248
EP300	-0.336427948646714	0.0844266979464668
	-0.406909862059321	0.0128519983551655
SLC25A17	-0.0874754425580514	0.831845848519922
	-0.0240848239627817	NA
MCHR1	1.98464161742421	2.31820563046391e-06
MRTFA	0.000701115549337511	0.996982961926551
