ID	Murine.knee.joint_Operated..DMM._7daysvsMurine.knee.joint_Operated..Sham._7days_logFC	Murine.knee.joint_Operated..DMM._7daysvsMurine.knee.joint_Operated..Sham._7days_padjFilter
0610009B22Rik	-0.132201905321725	0.531224095778967
0610009L18Rik	0.199068194879123	0.233992534309588
0610010F05Rik	0.206131878630523	0.205421757359507
0610010K14Rik	-0.0552236548422105	0.770547777446595
0610012G03Rik	-0.365398814611139	0.0645759339614464
0610025J13Rik	-0.0304414028871687	0.918627434231453
0610030E20Rik	0.207156474115235	0.328258619463514
0610038B21Rik	-0.067565163362568	NA
0610039K10Rik	0.00910309634125461	NA
0610040B10Rik	-0.387874663472267	NA
0610040J01Rik	-0.134298867175353	0.455454115742908
1110002E22Rik	0.0175336069222487	0.950598649976987
1110002L01Rik	0.0146789788490027	0.981490720251679
1110004F10Rik	-0.10779779858716	0.452590668787676
1110006O24Rik	0.0426376783661135	0.838889061219346
1110008P14Rik	-0.0846262296973466	0.628771207263585
1110012L19Rik	-0.116425838918796	NA
1110017D15Rik	-0.00136805122528294	NA
1110032A03Rik	-0.545451649281582	0.00184867981325386
1110032F04Rik	-0.00565807956480535	NA
1110038F14Rik	0.0268460605625718	0.89673857702497
1110051M20Rik	-0.151872414508301	0.410412047947159
1110057P08Rik	-0.00910313344143376	NA
1110059E24Rik	0.00269522827905178	0.994136579731369
1110059G10Rik	0.170684688045864	0.446149037378746
1110065P20Rik	-0.250430357031075	0.151713565342257
1190007I07Rik	0.108852537632321	0.770547777446595
1300017J02Rik	-0.153155474730114	0.37597144057947
1500002C15Rik	-0.111044799280995	0.728148140998832
1500002F19Rik	0.122702105621621	NA
1500009C09Rik	-0.058951601229122	0.81013706309119
1500011B03Rik	-0.0217105517417489	0.938270915002034
1500015L24Rik	-0.30061410138869	NA
1500035N22Rik	0.226368281271758	NA
1520401A03Rik	-0.194175876252995	NA
1600002K03Rik	-0.0884316888624621	0.760148299626818
1600012H06Rik	0.09598618578163	0.676565498815141
1600014C10Rik	0.11712125437028	0.529154801052386
1600014C23Rik	0.0487892290176895	NA
1600029O15Rik	0.172813092576679	0.639402464988289
1700001C02Rik	-0.06750590799387	0.769367082462662
1700001C19Rik	-0.311903664188355	NA
1700001G17Rik	0.0722316992479457	NA
1700001J03Rik	-0.0156179145808126	NA
1700001J11Rik	0.052512740187225	NA
1700001K19Rik	0.145747525599184	NA
1700001K23Rik	0.0228495050764166	NA
