ID	Murine.knee.joint_Operated..DMM._3dayvsMurine.knee.joint_Operated..Sham._3day_logFC	Murine.knee.joint_Operated..DMM._3dayvsMurine.knee.joint_Operated..Sham._3day_padjFilter
0610009B22Rik	0.0731304518827294	0.910764767488892
0610009L18Rik	-0.0984237210714713	0.846394162083951
0610010F05Rik	-0.0451425564045413	NA
0610010K14Rik	-0.233708432906615	0.507676336635719
0610012G03Rik	-0.133583697494474	0.81136815430851
0610025J13Rik	0.103732069656846	NA
0610030E20Rik	0.00857308299908954	0.99795106455513
0610038B21Rik	-0.0338763133136908	NA
0610039K10Rik	-0.174973241408156	NA
0610040B10Rik	-0.0266119885804592	NA
0610040J01Rik	0.125784070332598	0.797481358136746
1110002E22Rik	0.0467093181375775	0.960793184292218
1110002L01Rik	0.532218945135257	NA
1110004F10Rik	0.00533462249215422	0.99795106455513
1110006O24Rik	-0.116458635551165	NA
1110008P14Rik	-0.0932001038187584	NA
1110012L19Rik	0.0187961134926384	NA
1110017D15Rik	-0.223464005666654	NA
1110032A03Rik	-0.255386704655547	0.329945119658741
1110032F04Rik	0.082634957884244	NA
1110038F14Rik	-0.00786617608828255	0.997725672381017
1110051M20Rik	0.0858473286237409	NA
1110057P08Rik	-0.293896699908869	NA
1110059E24Rik	0.0782781098843639	0.941676763240136
1110059G10Rik	-0.148436165630446	NA
1110065P20Rik	0.0850298110600107	0.880189377161397
1190007I07Rik	-0.474088497350432	NA
1300017J02Rik	0.0233699219221135	0.978324919860968
1500002C15Rik	0.00741057112525123	NA
1500002F19Rik	-0.025566101804984	NA
1500009C09Rik	0.130893078126475	NA
1500011B03Rik	-0.0341073372338148	NA
1500015L24Rik	-0.00373532950073674	NA
1500035N22Rik	0.0129308067217968	NA
1520401A03Rik	-0.0984053560039655	NA
1600002K03Rik	-0.0580884194994038	NA
1600012H06Rik	-0.0739133623186001	0.914409342264327
1600014C10Rik	0.0675653388082891	0.909456308623326
1600014C23Rik	0.106209857746021	NA
1600029O15Rik	0.156268450041211	NA
1700001C02Rik	-0.011622582720392	NA
1700001C19Rik	0.308327538687272	NA
1700001G17Rik	-0.0251832058387933	NA
1700001J03Rik	-0.102823104211199	NA
1700001J11Rik	-0.108067624096296	NA
1700001K19Rik	0.0793156505900434	NA
1700001K23Rik	-0.144349377877347	NA
1700001L05Rik	0.0857800392061172	NA
1700001L19Rik	-0.21273104540492	NA
1700001O22Rik	0.660988246266125	NA
1700001P01Rik	0.119608078327914	NA
1700003E16Rik	0.0465092980916735	NA
1700003F12Rik	-0.186472327132082	NA
1700003H04Rik	-0.170273218908378	NA
1700003O11Rik	0.133595451505336	NA
1700006A11Rik	0.075235669416144	NA
1700006J14Rik	-0.136084003737599	NA
1700007K13Rik	0.227615341756927	NA
1700008J07Rik	-0.0478687865143446	0.952197613128214
1700008O03Rik	0.252460537162476	NA
1700008P02Rik	-0.175320450869899	NA
1700009J07Rik	-0.0282509886357003	NA
1700009N14Rik	0.0872453722367807	NA
1700010B08Rik	0.0355793051837123	NA
1700010D01Rik	-0.0282392720004778	NA
1700010I14Rik	-0.307077213059488	NA
1700010L04Rik	-0.0438754542467565	NA
1700011L22Rik	0.0533314364075985	NA
1700012A03Rik	-0.00718975013293877	NA
1700012B07Rik	0.0764278806921426	NA
1700012B09Rik	-0.189289516392997	NA
1700012P22Rik	-0.139115040478302	NA
1700013D24Rik	0.0621433638385089	NA
1700013F07Rik	-0.15547514279192	NA
1700013G24Rik	-0.0148116671688641	NA
1700013H16Rik	-0.14497725042156	NA
1700016C15Rik	-0.0312398082185519	NA
1700016D06Rik	-0.0163823107704353	NA
1700016H13Rik	-0.0667908199263647	NA
1700016K19Rik	0.0559154840872162	NA
1700017B05Rik	0.186535756591155	0.647327985347082
1700017G19Rik	0.155439546738943	NA
1700017N19Rik	-0.23509131885953	NA
1700018A04Rik	0.119215005503414	NA
1700018B08Rik	0.187271407939257	NA
1700018B24Rik	-0.0533008102642389	NA
1700018F24Rik	-0.122828094458551	NA
1700019A02Rik	-0.0523272308610403	NA
1700019D03Rik	-0.560872663060613	NA
1700019M22Rik	0.0107619193909039	NA
1700019N19Rik	0.467334833370496	NA
1700020A23Rik	0.174013614076996	NA
1700020D05Rik	0.00882830533462764	NA
1700020L24Rik	0.275829997785294	0.521010804857144
1700020N01Rik	-0.120633894135023	NA
1700021F05Rik	0.0470037689234308	NA
1700021F07Rik	0.288204463789286	NA
1700022A21Rik	0.115969247890465	NA
1700022I11Rik	-0.00427417060845769	NA
1700024G13Rik	0.0762611265887703	NA
1700024P04Rik	0.133680569334746	NA
1700025G04Rik	-0.125572906661011	0.813917066444001
1700028I16Rik	-0.121787158469568	NA
1700028J19Rik	-0.379717892681779	NA
1700028P14Rik	-0.168417557100123	NA
1700029F12Rik	0.0883565404678985	NA
1700029H14Rik	0.214145828020999	NA
1700029I15Rik	-0.195689440988773	NA
1700029J07Rik	-0.0046779437764175	NA
1700029M20Rik	0.104907132270349	NA
1700029P11Rik	-0.124468898940403	NA
1700030J22Rik	-0.0352390591122052	NA
1700030K09Rik	0.154807208869877	NA
1700031F05Rik	0.0762053361133894	NA
1700031F10Rik	0.0712734889349962	NA
1700031M16Rik	-0.32887007619592	NA
1700034E13Rik	-0.131640684810713	NA
1700034H15Rik	0.0593724036256154	NA
1700034I23Rik	-0.259264617410929	NA
1700034J05Rik	0.0357975986397912	NA
1700037H04Rik	-0.179066956892554	0.786001288018339
1700048O20Rik	-0.162116525803474	NA
1700049J03Rik	-0.184154311596437	NA
1700049L16Rik	-0.123730517485739	NA
1700052K11Rik	-0.133196973152636	0.783404491257857
1700054O19Rik	0.186108459225119	NA
1700055D18Rik	-0.0255042322694345	NA
1700056E22Rik	-0.125905515082354	NA
1700057G04Rik	-0.0368225708422298	NA
1700061I17Rik	0.189894971647118	NA
1700063H04Rik	0.0799696457115706	NA
1700065D16Rik	-0.205356025972852	NA
1700066B19Rik	-0.035203133255985	NA
1700066M21Rik	0.415497079688202	0.401216224915096
1700067K01Rik	0.130545889440288	NA
