ID	Murine.knee.joint_Operated..DMM._6hrvsMurine.knee.joint_Operated..Sham._6hr_logFC	Murine.knee.joint_Operated..DMM._6hrvsMurine.knee.joint_Operated..Sham._6hr_padjFilter
0610009B22Rik	-0.1102017423769	0.674081735718889
0610009L18Rik	-0.142339725097993	0.473443934054151
0610010F05Rik	-0.0614348097881079	0.789087898958639
0610010K14Rik	0.112633059400971	0.581576443000813
0610012G03Rik	0.25123852779668	0.242018787135168
0610025J13Rik	-0.0128195025307525	0.974069801661306
0610030E20Rik	0.200669317200805	0.412277901795391
0610038B21Rik	-0.0895371711764739	0.766329370988816
0610039K10Rik	-0.0808273558553059	0.821800090167268
0610040B10Rik	-0.251218183073886	NA
0610040J01Rik	0.0165298322112895	0.956486546784928
1110002E22Rik	0.337587371293081	0.14876493428524
1110002L01Rik	0.296251918114044	0.632663396888016
1110004F10Rik	-0.0941837898258981	0.589821086046361
1110006O24Rik	0.109332367857644	0.615763254985468
1110008P14Rik	0.234285076431438	0.187138786900289
1110012L19Rik	0.0547594633631108	0.89453110793227
1110017D15Rik	0.0724652928940399	0.788139046836206
1110032A03Rik	-0.0782357497634356	0.667507851889944
1110032F04Rik	-0.186271569867563	0.313380488347137
1110038F14Rik	0.0571083111481832	0.809856610874262
1110051M20Rik	0.0531559478855286	0.841101085630251
1110057P08Rik	-0.242717246821713	NA
1110059E24Rik	0.0671027327015432	0.873613075141847
1110059G10Rik	-0.303512130229127	0.207750306289823
1110065P20Rik	0.088074566202593	0.704031678255288
1190007I07Rik	0.123048665849358	0.789008169695879
1300017J02Rik	-0.141443143812584	0.489982459782075
1500002C15Rik	0.14941509600645	0.688225750244364
1500002F19Rik	-0.0390672094612499	NA
1500009C09Rik	-0.0908651082349152	0.750377800134594
1500011B03Rik	-0.108707917737631	0.702189634431375
1500015L24Rik	0.124636712945595	NA
1500035N22Rik	-0.0857590318106825	NA
1520401A03Rik	-0.079280463808038	0.734609944722212
1600002K03Rik	0.209295640701163	0.489269062220026
1600012H06Rik	-0.134688530880436	0.612002849455759
1600014C10Rik	-0.0127685816004055	0.965720154755824
1600014C23Rik	-0.61884415482387	NA
1600029O15Rik	0.454090786788981	0.226839258790143
1700001C02Rik	-0.118291230578633	0.644521895420322
1700001C19Rik	-0.350397475030098	0.100818465817401
1700001G17Rik	-0.0978489998234329	0.794110709498102
1700001J03Rik	-0.167747252519729	0.57485983383865
1700001J11Rik	-0.750550233142596	NA
1700001K19Rik	-0.1543462559431	NA
1700001K23Rik	0.0142241085726731	0.962405903933092
1700001L05Rik	0.242412778730217	0.365672916979066
1700001L19Rik	-0.092069177206997	NA
1700001O22Rik	0.46535221989666	0.0924689265610821
1700001P01Rik	0.247774005346558	NA
1700003E16Rik	0.0191604108465726	NA
1700003F12Rik	-0.104197544877198	0.659821348244732
1700003H04Rik	-0.0528109073918548	NA
1700003O11Rik	-0.120101439240988	NA
1700006A11Rik	0.0588969040994525	NA
1700006J14Rik	0.312590249685962	0.293851361811559
1700007K13Rik	-0.124117927804218	NA
1700008J07Rik	-0.152244531627372	0.531911039063533
1700008O03Rik	0.00794124919330752	0.97953132142448
1700008P02Rik	-0.0682141526109765	NA
1700009J07Rik	-0.049174553490885	NA
1700009N14Rik	-0.0635531999402756	NA
1700010B08Rik	-0.20844536100785	NA
1700010D01Rik	0.0496536126334317	NA
1700010I14Rik	0.2158976301275	0.385712097845054
1700010L04Rik	0.10266365861085	NA
1700011L22Rik	-0.198604657206687	0.458281726477641
1700012A03Rik	-0.126482917555572	NA
1700012B07Rik	0.0658536839451567	NA
1700012B09Rik	-0.22683099240248	NA
1700012P22Rik	-0.104418866459614	NA
1700013D24Rik	-0.085342659727611	NA
1700013F07Rik	0.0459885156763002	NA
1700013G24Rik	-0.134291571795535	NA
1700013H16Rik	-0.0404002899025402	NA
1700016C15Rik	0.0475792581183798	NA
1700016D06Rik	-0.155607437909248	NA
1700016H13Rik	0.0370340408004601	NA
1700016K19Rik	0.17107334418339	0.347516179515602
1700017B05Rik	-0.00282109325488022	0.992820976784694
1700017G19Rik	0.197607769146066	NA
1700017N19Rik	-0.0417338815137778	NA
1700018A04Rik	0.0882337510258937	NA
1700018B08Rik	-0.0721478497974672	0.805680211276656
1700018B24Rik	0.00433076909969987	NA
1700018F24Rik	0.294444998784303	NA
1700019A02Rik	-0.337050723620542	NA
1700019D03Rik	-0.470906488961014	NA
1700019M22Rik	-0.139718023011567	NA
1700019N19Rik	0.197392139934761	NA
1700020A23Rik	0.0462331090147807	NA
1700020D05Rik	0.0457583972715701	NA
1700020L24Rik	0.291808453981242	0.180548791775557
1700020N01Rik	-0.073125616443563	0.775171145055006
1700021F05Rik	-0.0563559642996827	0.866519487294717
1700021F07Rik	0.0874263525808754	0.820702930792919
1700022A21Rik	-0.123766296719446	0.725048754667984
1700022I11Rik	-0.248623973216173	NA
1700024G13Rik	-0.258334875435688	NA
1700024P04Rik	0.114228143313139	NA
1700025G04Rik	-0.136650343737152	0.544259895450419
1700028I16Rik	0.114649960305549	0.64322962831785
1700028J19Rik	0.110764448640357	0.767504195056279
1700028P14Rik	-0.10797869546989	NA
1700029F12Rik	-0.0305125302342089	NA
1700029H14Rik	0.0194856230678355	0.959369139226356
1700029I15Rik	-0.220989814601261	0.300330689125019
1700029J07Rik	-0.00435313852581132	0.99181171469816
1700029M20Rik	-0.0892478103632866	NA
1700029P11Rik	0.0268606565630529	NA
1700030J22Rik	0.316995918945593	0.335097664238325
1700030K09Rik	0.210875172183534	0.348990331454261
1700031F05Rik	-0.251927135144018	0.521605207605823
1700031F10Rik	0.112027411683468	0.708705218229785
1700031M16Rik	-0.243233034991362	NA
1700034E13Rik	-0.0350573216772405	NA
1700034H15Rik	-0.187764106354114	0.45642250765386
1700034I23Rik	-0.369664824364723	NA
1700034J05Rik	0.00701479696815666	NA
